art_100,lineage1.1.1.1,0.696,lineage4.5,0.304
art_101,lineage1.1.1.1,0.696,lineage4.9.1,0.304
art_102,lineage6,1.0
art_103,lineage4.2,0.714,lineage4.3.2.1,0.286
art_104,lineage4.6.2.1,1.0
art_105,lineage2.2,0.689,lineage2,0.311
art_106,lineage4.2.1.1,1.0
art_107,lineageoryg,0.702,lineage4.3.3,0.298
art_108,lineage4.8.3,1.0
art_109,lineage6,1.0
art_10,lineage4.2,1.0
art_110,lineage4.6.3,1.0
art_111,lineage4.4.1,0.701,lineage4.1.1.3,0.299
art_112,lineage1.2.1,1.0
art_113,lineage4.2.2.2,0.715,lineage4.1.1.3.1,0.285
sample
art_115,lineage4.1.2.1,0.706,lineage1.1.2,0.294
art_116,lineage4.6.4,1.0
art_117,lineage4.1,0.322,lineage1.1,0.678
art_118,lineage4.1.1.2,1.0
art_119,lineage4.3.4.2,0.709,lineage4.2,0.291
art_11,lineage4.3,0.691,lineage4.8.3,0.309
art_120,lineage4.6.1.1,1.0
art_121,lineage1.1.1.1,0.704,lineage4.6.2.2,0.296
art_122,lineage1.1.3.3,0.699,lineage4.3.3,0.301
art_123,lineage7,0.296,lineage4.6.2.1,0.704
art_124,lineage4.1,0.708,lineage4.4.1.1.1,0.292
art_125,lineage4.1.4,1.0
art_126,lineage4.5,0.703,lineage9,0.297
sample
art_128,lineageoryg,0.697,lineage1.1.3.3,0.303
art_129,lineage4.8.3,0.719,lineage4.6.1.2,0.281
art_12,lineage4.2.2.2,1.0
art_130,lineage4.2.2.1,0.7,lineage3.1.2.2,0.3
art_131,lineage1,0.307,lineage1.1.3.2,0.693
art_132,lineage3.1.2.2,0.705,lineage2.2.2,0.295
art_133,lineage4.1.1.3.1,0.713,lineage4.1.1,0.287
art_134,lineage1.1,0.706,lineage4.1.1.1,0.294
art_135,lineage4.1.1.2,1.0
art_136,lineage4.2.2.1,1.0
art_137,lineage2,0.305,lineage4.4.1,0.695
art_138,lineage4.6.4,0.727,lineage4.2.2.1,0.273
art_139,lineage4.3.2.1,1.0
art_13,lineage2,1.0
