0,1,2,3,4,5,6,7,8,9,10
0.0,2.619,2.792,1.472,2.021,2.009,2.286,2.172,2.163,2.233,2.207
1.79,0.0,1.955,3.654,4.023,2.958,3.747,3.634,3.611,3.816,3.64
1.901,1.998,0.0,3.638,4.002,2.942,3.765,3.638,3.581,3.786,3.633
1.127,3.728,3.646,0.0,0.494,1.869,2.246,2.131,2.275,2.384,2.326
1.367,3.743,3.665,0.466,0.0,1.887,2.278,2.16,2.296,2.403,2.363
1.586,3.739,3.649,2.225,2.443,0.0,1.074,0.603,1.984,1.945,2.14
1.585,3.775,3.715,2.219,2.454,0.999,0.0,0.649,2.358,2.439,2.403
1.536,3.711,3.636,2.139,2.361,0.702,0.665,0.0,2.272,2.339,2.316
1.513,3.639,3.552,2.247,2.477,1.665,2.361,2.238,0.0,0.196,1.337
1.493,3.624,3.541,2.246,2.464,1.593,2.326,2.177,0.262,0.0,1.348
1.524,3.629,3.55,2.271,2.514,1.763,2.37,2.25,1.306,1.362,0.0
