0,1,2
0.61,0.31,0.08
0.5,0.48,0.02
0.71,0.21,0.08
0.58,0.21,0.21
0.57,0.39,0.04
0.55,0.45,0.0
0.64,0.31,0.05
0.61,0.26,0.13
0.58,0.41,0.01
0.53,0.44,0.03
0.55,0.33,0.12
0.67,0.29,0.04
0.52,0.29,0.19
0.58,0.24,0.18
0.58,0.32,0.1
0.63,0.32,0.05
0.65,0.25,0.1
0.67,0.16,0.17
0.6,0.3,0.1
0.49,0.31,0.2
0.64,0.3,0.06
0.58,0.27,0.15
0.65,0.18,0.17
0.6,0.2,0.2
0.56,0.31,0.13
0.64,0.25,0.11
0.56,0.39,0.05
0.6,0.24,0.16
0.58,0.25,0.17
0.6,0.28,0.12
0.57,0.42,0.01
0.52,0.33,0.15
0.66,0.32,0.02
0.58,0.28,0.14
0.66,0.31,0.03
0.72,0.2,0.08
0.52,0.46,0.02
0.53,0.27,0.2
0.63,0.17,0.2
0.55,0.4,0.05
0.54,0.34,0.12
0.65,0.31,0.04
0.61,0.39,0.0
0.59,0.26,0.15
0.63,0.29,0.08
0.62,0.28,0.1
0.52,0.46,0.02
0.61,0.25,0.14
0.62,0.31,0.07
0.71,0.21,0.08
0.53,0.44,0.03
0.57,0.29,0.14
0.62,0.33,0.05
0.57,0.38,0.05
0.61,0.3,0.09
0.56,0.27,0.17
0.61,0.31,0.08
0.65,0.27,0.08
0.58,0.29,0.13
0.56,0.33,0.11
0.58,0.41,0.01
0.53,0.39,0.08
0.55,0.38,0.07
0.56,0.34,0.1
0.63,0.37,0.0
0.6,0.39,0.01
0.59,0.24,0.17
0.59,0.32,0.09
0.61,0.33,0.06
0.63,0.21,0.16
0.58,0.36,0.06
0.61,0.25,0.14
0.63,0.35,0.02
0.67,0.15,0.18
0.58,0.41,0.01
0.6,0.32,0.08
0.61,0.35,0.04
0.6,0.39,0.01
0.62,0.2,0.18
0.62,0.32,0.06
0.57,0.4,0.03
0.57,0.31,0.12
0.5,0.36,0.14
0.55,0.31,0.14
0.6,0.24,0.16
0.6,0.22,0.18
0.52,0.32,0.16
0.52,0.31,0.17
0.68,0.32,-0.0
0.57,0.35,0.08
0.58,0.39,0.03
0.6,0.26,0.14
0.55,0.32,0.13
0.52,0.28,0.2
0.62,0.37,0.01
0.58,0.37,0.05
0.58,0.35,0.07
0.54,0.28,0.18
0.54,0.25,0.21
0.66,0.21,0.13
