0,1,2,3
0.4654,0.2406,0.0012,0.2928
0.5403,0.172,0.0,0.2877
0.3433,0.2622,0.001,0.3935
0.4637,0.2301,0.0,0.3062
0.2355,0.5323,0.0001,0.2321
0.3531,0.2518,0.0007,0.3944
0.1112,0.5729,0.135,0.1809
0.5363,0.2729,0.0001,0.1907
0.5108,0.1766,0.0009,0.3117
0.5789,0.2206,0.0013,0.1992
0.4622,0.1,0.0003,0.4375
0.3456,0.2394,0.0013,0.4137
0.2997,0.4649,0.0015,0.2339
0.3106,0.1956,0.1677,0.3261
0.38,0.4255,0.0011,0.1934
0.3435,0.3145,0.0007,0.3413
0.2486,0.5099,0.0003,0.2412
0.4248,0.3536,0.0008,0.2208
0.4026,0.217,0.0,0.3804
0.4829,0.364,0.0025,0.1506
0.2811,0.4552,0.0003,0.2634
0.5095,0.266,0.0005,0.224
0.0571,0.5414,0.3076,0.0939
0.5954,0.0847,0.0001,0.3198
0.3136,0.3644,0.0027,0.3193
0.5394,0.0264,0.0008,0.4334
0.1616,0.3817,0.2721,0.1846
0.3394,0.5999,0.0009,0.0598
0.2788,0.3449,0.123,0.2533
0.4632,0.217,0.001,0.3188
0.6022,0.016,0.0009,0.3809
0.5363,0.2124,0.0,0.2513
0.4339,0.3217,0.0003,0.2441
0.6306,0.08,0.0038,0.2856
0.1163,0.4546,0.2919,0.1372
0.3756,0.4023,0.001,0.2211
0.6651,0.0007,0.0022,0.332
0.5216,0.1355,0.0005,0.3424
0.4602,0.2149,0.0004,0.3245
0.4719,0.1259,0.0017,0.4005
0.2407,0.4767,0.0012,0.2814
0.2719,0.4032,0.0007,0.3242
0.5481,0.1432,0.0016,0.3071
0.5251,0.1886,0.0001,0.2862
0.3836,0.3376,0.0008,0.278
0.3824,0.4039,0.0003,0.2134
0.1114,0.5728,0.0005,0.3153
0.1026,0.592,0.0001,0.3053
0.4798,0.1625,0.0004,0.3573
0.3762,0.2238,0.0004,0.3996
0.4939,0.1919,0.0005,0.3137
0.373,0.4344,0.0001,0.1925
0.2271,0.5817,0.0004,0.1908
0.2741,0.5317,0.0005,0.1937
0.187,0.494,0.0001,0.3189
0.364,0.4921,0.0015,0.1424
0.4193,0.2571,0.0015,0.3221
0.2132,0.4743,0.0012,0.3113
0.3917,0.2622,0.0011,0.345
0.284,0.2667,0.1628,0.2865
0.3367,0.3045,0.0,0.3588
0.0915,0.5597,0.001,0.3478
0.6044,0.0808,0.0001,0.3147
0.4157,0.2649,0.0002,0.3192
0.5012,0.1618,0.0017,0.3353
0.6588,0.1862,0.0,0.155
0.3844,0.1965,0.0004,0.4187
0.5351,0.1321,0.0002,0.3326
0.2971,0.439,0.0008,0.2631
0.3765,0.5039,0.0008,0.1188
0.3193,0.3848,0.0016,0.2943
0.2325,0.5526,0.0004,0.2145
0.2081,0.5595,0.0019,0.2305
0.1929,0.413,0.1774,0.2167
0.0025,0.4429,0.3598,0.1948
0.1518,0.2923,0.3982,0.1577
0.6431,0.0019,0.0,0.355
0.4998,0.1976,0.0005,0.3021
0.6935,0.0857,0.0018,0.219
0.1417,0.6192,0.0003,0.2388
0.3872,0.3388,0.0005,0.2735
0.4672,0.3311,0.0002,0.2015
0.4302,0.2746,0.0004,0.2948
0.5015,0.0652,0.0003,0.433
0.1601,0.6241,0.0003,0.2155
0.441,0.3218,0.0002,0.237
0.5789,0.0268,0.0017,0.3926
0.429,0.3342,0.0012,0.2356
0.2552,0.485,0.0005,0.2593
0.6048,0.0193,0.0003,0.3756
0.1893,0.5785,0.0008,0.2314
0.2559,0.4668,0.0,0.2773
0.4528,0.1951,0.0008,0.3513
0.2616,0.4222,0.0016,0.3146
0.5179,0.121,0.0009,0.3602
0.3594,0.425,0.0,0.2156
0.3453,0.2203,0.0006,0.4338
0.5782,0.0952,0.0009,0.3257
0.2708,0.5417,0.001,0.1865
0.2105,0.4289,0.0006,0.36
