0,1,2,3
0.7066,0.0,0.2934,0.0
0.7656,0.1103,0.1241,0.0
0.7944,0.1287,0.0769,0.0
0.8588,0.0,0.1412,0.0
0.7093,0.112,0.1787,0.0
0.7201,0.158,0.0,0.1219
0.6731,0.1644,0.1625,0.0
0.7067,0.2003,0.093,0.0
0.6655,0.191,0.1435,0.0
0.7508,0.0127,0.2365,0.0
0.6895,0.0464,0.2641,0.0
0.7045,0.1081,0.1874,0.0
0.7517,0.1312,0.1171,0.0
0.7371,0.0858,0.1771,0.0
0.6568,0.0498,0.2934,0.0
0.6975,0.1492,0.1533,0.0
0.6927,0.086,0.2213,0.0
0.7174,0.2153,0.0673,0.0
0.7124,0.0698,0.2178,0.0
0.7283,0.1845,0.0872,0.0
0.6705,0.2162,0.1133,0.0
0.6733,0.0099,0.3168,0.0
0.838,0.162,0.0,0.0
0.7854,0.0976,0.117,0.0
0.8272,0.1728,0.0,0.0
0.6544,0.1808,0.1648,0.0
0.713,0.1419,0.1451,0.0
0.7699,0.1453,0.0848,0.0
0.623,0.1361,0.2409,0.0
0.6137,0.082,0.2731,0.0312
0.6557,0.0511,0.2932,0.0
0.7758,0.0641,0.0768,0.0833
0.6871,0.1304,0.1825,0.0
0.7492,0.1444,0.1064,0.0
0.6642,0.0418,0.294,0.0
0.743,0.1732,0.0838,0.0
0.7286,0.1836,0.0878,0.0
0.6874,0.033,0.2796,0.0
0.807,0.0469,0.1461,0.0
0.7373,0.155,0.1077,0.0
0.6865,0.0391,0.2744,0.0
0.7703,0.077,0.1527,0.0
0.673,0.1293,0.1393,0.0584
0.7186,0.0151,0.2663,0.0
0.75,0.1969,0.0,0.0531
0.7141,0.0994,0.1865,0.0
0.6734,0.0,0.3266,0.0
0.7578,0.2153,0.0269,0.0
0.891,0.109,0.0,0.0
0.7813,0.0645,0.1542,0.0
0.7358,0.0041,0.2601,0.0
0.7845,0.0816,0.1339,0.0
0.7937,0.0245,0.1818,0.0
0.7526,0.0035,0.2051,0.0388
0.7814,0.106,0.1126,0.0
0.8275,0.0564,0.1161,0.0
0.7989,0.151,0.0501,0.0
0.7409,0.0143,0.2448,0.0
0.7913,0.123,0.0857,0.0
0.7782,0.0573,0.1645,0.0
0.7769,0.0433,0.1798,0.0
0.7169,0.0335,0.1872,0.0624
0.7777,0.1459,0.0764,0.0
0.7477,0.097,0.1553,0.0
0.7921,0.2079,0.0,0.0
0.7424,0.0358,0.2218,0.0
0.8003,0.0317,0.168,0.0
0.7512,0.0,0.2488,0.0
0.715,0.1361,0.0248,0.1241
0.8165,0.0452,0.1383,0.0
0.6659,0.0759,0.2582,0.0
0.8214,0.1142,0.0644,0.0
0.8132,0.0001,0.1867,0.0
0.726,0.0,0.274,0.0
0.8152,0.052,0.1328,0.0
0.8051,0.145,0.0499,0.0
0.7639,0.1617,0.0744,0.0
0.8375,0.1049,0.0576,0.0
0.8694,0.1053,0.0253,0.0
0.6923,0.1132,0.1945,0.0
0.7583,0.1325,0.1092,0.0
0.775,0.2001,0.0,0.0249
0.763,0.0652,0.1718,0.0
0.7923,0.0423,0.1654,0.0
0.6195,0.0529,0.3276,0.0
0.7757,0.1279,0.0964,0.0
0.7001,0.1704,0.1295,0.0
0.7281,0.1182,0.1537,0.0
0.7355,0.0546,0.2099,0.0
0.672,0.1286,0.1994,0.0
0.8584,0.1416,0.0,0.0
0.7262,0.1887,0.0851,0.0
0.6127,0.2117,0.1756,0.0
0.6867,0.1244,0.1889,0.0
0.7071,0.0536,0.2393,0.0
0.7335,0.1749,0.0916,0.0
0.6868,0.0509,0.2623,0.0
0.8625,0.0547,0.0828,0.0
0.8767,0.0596,0.0637,0.0
0.7581,0.0955,0.0942,0.0522
