0,1,2,3
0.6161,0.0001,0.0786,0.3052
0.5965,0.0007,0.1107,0.2921
0.6146,0.0001,0.1461,0.2392
0.6294,0.0001,0.0363,0.3342
0.6419,0.0003,0.1783,0.1795
0.5699,0.0003,0.0318,0.398
0.7083,0.0001,0.1898,0.1018
0.3119,0.424,0.1306,0.1335
0.6777,0.0001,0.0398,0.2824
0.4526,0.1321,0.1445,0.2708
0.6103,0.0001,0.1589,0.2307
0.5986,0.0002,0.0907,0.3105
0.6311,0.0001,0.0573,0.3115
0.6151,0.0004,0.1679,0.2166
0.6122,0.0,0.0741,0.3137
0.5829,0.0003,0.1371,0.2797
0.6483,0.0,0.1569,0.1948
0.6141,0.0,0.1614,0.2245
0.4805,0.0006,0.0996,0.4193
0.6463,0.0001,0.1818,0.1718
0.6645,0.0002,0.0199,0.3154
0.6145,0.0003,0.1009,0.2843
0.6357,0.0002,0.0973,0.2668
0.6027,0.0002,0.0154,0.3817
0.5707,0.0009,0.0797,0.3487
0.6013,0.0001,0.0317,0.3669
0.5882,0.0002,0.1352,0.2764
0.6926,0.0,0.0304,0.277
0.6066,0.0004,0.0315,0.3615
0.5749,0.0,0.1296,0.2955
0.5311,0.0003,0.1087,0.3599
0.5588,0.0007,0.1338,0.3067
0.5515,0.0002,0.0069,0.4414
0.5902,0.0008,0.076,0.333
0.6422,0.0,0.1379,0.2199
0.6603,0.0004,0.0151,0.3242
0.583,0.0007,0.1149,0.3014
0.6454,0.0005,0.1042,0.2499
0.5289,0.0002,0.0176,0.4533
0.5694,0.0004,0.1649,0.2653
0.5637,0.0,0.0326,0.4037
0.6601,0.0007,0.1241,0.2151
0.6869,0.0001,0.111,0.202
0.6312,0.0002,0.0119,0.3567
0.5892,0.0002,0.0288,0.3818
0.6181,0.0218,0.17,0.1901
0.6579,0.0,0.0,0.3421
0.5867,0.0008,0.1595,0.253
0.6826,0.0003,0.0158,0.3013
0.6289,0.0001,0.2189,0.1521
0.5848,0.0005,0.0966,0.3181
0.6457,0.0003,0.013,0.341
0.535,0.0003,0.1305,0.3342
0.6413,0.0003,0.1224,0.236
0.5005,0.002,0.1147,0.3828
0.519,0.0866,0.0754,0.319
0.5168,0.0409,0.0497,0.3926
0.5751,0.0004,0.054,0.3705
0.6111,0.0003,0.1494,0.2392
0.5898,0.0014,0.1398,0.269
0.6153,0.0002,0.0763,0.3082
0.5654,0.0001,0.1139,0.3206
0.6061,0.0002,0.1047,0.289
0.6583,0.0005,0.0101,0.3311
0.5687,0.0009,0.0456,0.3848
0.6858,0.0002,0.2082,0.1058
0.5764,0.0001,0.125,0.2985
0.6188,0.0004,0.1235,0.2573
0.5696,0.0,0.1209,0.3095
0.615,0.0,0.0063,0.3787
0.5975,0.0,0.0424,0.3601
0.668,0.0007,0.0097,0.3216
0.6506,0.0007,0.1773,0.1714
0.6164,0.0005,0.1961,0.187
0.5438,0.0005,0.1108,0.3449
0.5953,0.0002,0.1486,0.2559
0.5784,0.0,0.0606,0.361
0.6309,0.0,0.1134,0.2557
0.6,0.0002,0.2045,0.1953
0.5119,0.0,0.0722,0.4159
0.591,0.0424,0.0078,0.3588
0.6868,0.0003,0.1405,0.1724
0.638,0.0009,0.1335,0.2276
0.6073,0.0002,0.1417,0.2508
0.6474,0.0002,0.0377,0.3147
0.5932,0.0,0.058,0.3488
0.5384,0.0467,0.1971,0.2178
0.6211,0.0003,0.1021,0.2765
0.6366,0.0,0.1568,0.2066
0.5806,0.0,0.053,0.3664
0.5635,0.0007,0.0011,0.4347
0.554,0.0,0.1114,0.3346
0.5519,0.0,0.1333,0.3148
0.5963,0.0001,0.1861,0.2175
0.5708,0.0007,0.0222,0.4063
0.6286,0.0,0.1233,0.2481
0.577,0.0004,0.0001,0.4225
0.6027,0.0,0.0618,0.3355
0.5725,0.0004,0.168,0.2591
0.4645,0.1564,0.0628,0.3163
