0,1,2,3
0.6395,0.1316,0.0003,0.2286
0.546,0.172,0.1097,0.1723
0.5435,0.1269,0.1283,0.2013
0.6746,0.05,0.0004,0.275
0.5568,0.1444,0.0004,0.2984
0.6088,0.0478,0.0003,0.3431
0.7137,0.1559,0.0001,0.1303
0.5022,0.0302,0.0003,0.4673
0.583,0.0505,0.0004,0.3661
0.5662,0.1866,0.0003,0.2469
0.5488,0.1291,0.0009,0.3212
0.5292,0.0516,0.0,0.4192
0.486,0.0738,0.1234,0.3168
0.6908,0.102,0.0001,0.2071
0.5788,0.0213,0.0008,0.3991
0.5445,0.2038,0.0002,0.2515
0.5323,0.1514,0.0003,0.316
0.615,0.0235,0.0003,0.3612
0.5874,0.2111,0.0009,0.2006
0.5565,0.1269,0.0007,0.3159
0.654,0.0626,0.0005,0.2829
0.6478,0.0586,0.0011,0.2925
0.6515,0.0093,0.0,0.3392
0.564,0.0909,0.0,0.3451
0.5921,0.1845,0.0008,0.2226
0.6141,0.126,0.0007,0.2592
0.6622,0.1896,0.0,0.1482
0.6626,0.1637,0.0,0.1737
0.4783,0.2032,0.0001,0.3184
0.5229,0.1401,0.0002,0.3368
0.5574,0.0482,0.0003,0.3941
0.5577,0.1421,0.0001,0.3001
0.5805,0.1132,0.0002,0.3061
0.587,0.1589,0.0003,0.2538
0.6055,0.1059,0.125,0.1636
0.5494,0.1194,0.0,0.3312
0.598,0.1264,0.0003,0.2753
0.5872,0.1956,0.0001,0.2171
0.5406,0.1268,0.0,0.3326
0.4662,0.0731,0.0004,0.4603
0.6208,0.0615,0.0003,0.3174
0.4934,0.1469,0.0,0.3597
0.5572,0.0899,0.0001,0.3528
0.5681,0.0764,0.0,0.3555
0.6705,0.1439,0.0,0.1856
0.5538,0.1387,0.0003,0.3072
0.6664,0.184,0.0,0.1496
0.5346,0.1285,0.0002,0.3367
0.6118,0.1286,0.0001,0.2595
0.5633,0.0256,0.0692,0.3419
0.6913,0.1718,0.0002,0.1367
0.654,0.0236,0.0,0.3224
0.4907,0.1044,0.121,0.2839
0.6341,0.147,0.0003,0.2186
0.6365,0.0194,0.0002,0.3439
0.5413,0.0627,0.0004,0.3956
0.6816,0.1018,0.0,0.2166
0.4994,0.1674,0.001,0.3322
0.6156,0.0179,0.0008,0.3657
0.549,0.1846,0.0003,0.2661
0.6707,0.0387,0.001,0.2896
0.7336,0.0695,0.0005,0.1964
0.511,0.1205,0.138,0.2305
0.5848,0.1677,0.2008,0.0467
0.6009,0.1005,0.0,0.2986
0.4974,0.0847,0.0003,0.4176
0.5329,0.0873,0.0002,0.3796
0.5995,0.009,0.0,0.3915
0.697,0.0851,0.0001,0.2178
0.6936,0.1626,0.0004,0.1434
0.6936,0.15,0.0002,0.1562
0.6328,0.1773,0.0003,0.1896
0.5294,0.0312,0.178,0.2614
0.5913,0.1288,0.0004,0.2795
0.6421,0.0725,0.0003,0.2851
0.4904,0.1778,0.0003,0.3315
0.5611,0.0673,0.001,0.3706
0.5696,0.1101,0.0001,0.3202
0.5847,0.1804,0.0009,0.234
0.6665,0.1332,0.0003,0.2
0.5445,0.1999,0.0002,0.2554
0.6159,0.0001,0.0,0.384
0.6367,0.157,0.0001,0.2062
0.549,0.0397,0.0002,0.4111
0.6789,0.0921,0.0002,0.2288
0.551,0.1422,0.0461,0.2607
0.6019,0.0928,0.0007,0.3046
0.626,0.2188,0.0002,0.155
0.5823,0.0002,0.0001,0.4174
0.7059,0.0188,0.0001,0.2752
0.5539,0.0175,0.0004,0.4282
0.5441,0.0357,0.0,0.4202
0.626,0.0541,0.0,0.3199
0.5054,0.0458,0.0004,0.4484
0.5591,0.1248,0.0,0.3161
0.5348,0.1998,0.0,0.2654
0.6823,0.189,0.0004,0.1283
0.5498,0.0785,0.0,0.3717
0.6294,0.0,0.0,0.3706
0.5475,0.0271,0.0003,0.4251
