0,1,2,3
0.7152,0.0,0.2848,0.0
0.7769,0.0,0.1098,0.1133
0.7805,0.0,0.0958,0.1237
0.8711,0.0,0.1289,0.0
0.7195,0.0,0.1701,0.1104
0.7383,0.0523,0.0,0.2094
0.6554,0.0,0.1767,0.1679
0.7016,0.0,0.0978,0.2006
0.6902,0.0,0.1188,0.191
0.7735,0.0,0.2147,0.0118
0.6897,0.0,0.2721,0.0382
0.7156,0.0,0.1649,0.1195
0.7401,0.0,0.1273,0.1326
0.7259,0.0,0.1902,0.0839
0.6908,0.0,0.2644,0.0448
0.7081,0.0,0.1365,0.1554
0.6976,0.0,0.2211,0.0813
0.7255,0.0,0.0706,0.2039
0.7136,0.0,0.2105,0.0759
0.7222,0.0,0.0934,0.1844
0.6645,0.0,0.1204,0.2151
0.6738,0.0,0.3262,0.0
0.8217,0.0,0.0,0.1783
0.781,0.0,0.1231,0.0959
0.8081,0.0,0.0,0.1919
0.6665,0.0,0.141,0.1925
0.7227,0.0,0.143,0.1343
0.7822,0.0,0.0675,0.1503
0.6283,0.0,0.2294,0.1423
0.6329,0.0112,0.2659,0.09
0.6672,0.0,0.2861,0.0467
0.7629,0.0333,0.1062,0.0976
0.7048,0.0,0.1774,0.1178
0.7413,0.0,0.1126,0.1461
0.6552,0.0,0.2954,0.0494
0.7548,0.0,0.077,0.1682
0.7211,0.0,0.088,0.1909
0.6713,0.0,0.2946,0.0341
0.8097,0.0,0.1487,0.0416
0.7323,0.0,0.1094,0.1583
0.7011,0.0,0.2493,0.0496
0.7933,0.0,0.1252,0.0815
0.6777,0.0248,0.1465,0.151
0.7257,0.0,0.2588,0.0155
0.7566,0.0234,0.0,0.22
0.7093,0.0,0.187,0.1037
0.6838,0.0,0.3162,0.0
0.7594,0.0,0.0356,0.205
0.8864,0.0,0.0001,0.1135
0.795,0.0,0.1513,0.0537
0.7411,0.0,0.2558,0.0031
0.8183,0.0,0.1022,0.0795
0.7995,0.0,0.1728,0.0277
0.7792,0.0156,0.1956,0.0096
0.8013,0.0,0.0883,0.1104
0.8416,0.0,0.0913,0.0671
0.8115,0.0,0.0429,0.1456
0.7346,0.0,0.2534,0.012
0.809,0.0,0.0742,0.1168
0.7868,0.0,0.1747,0.0385
0.7925,0.0,0.1687,0.0388
0.727,0.0308,0.1983,0.0439
0.7933,0.0,0.0755,0.1312
0.7372,0.0,0.1677,0.0951
0.7969,0.0,0.0,0.2031
0.7567,0.0,0.2167,0.0266
0.8194,0.0,0.1525,0.0281
0.7723,0.0,0.2277,0.0
0.7367,0.0496,0.0573,0.1564
0.8267,0.0,0.1312,0.0421
0.6779,0.0,0.2596,0.0625
0.8303,0.0,0.0589,0.1108
0.8282,0.0,0.1718,0.0
0.7531,0.0,0.2469,0.0
0.8038,0.0,0.137,0.0592
0.8058,0.0,0.0511,0.1431
0.753,0.0,0.0786,0.1684
0.8454,0.0,0.0565,0.0981
0.888,0.0,0.0111,0.1009
0.6937,0.0,0.1971,0.1092
0.7687,0.0,0.0974,0.1339
0.7934,0.0077,0.0,0.1989
0.7802,0.0,0.1604,0.0594
0.8036,0.0,0.1507,0.0457
0.6314,0.0,0.3275,0.0411
0.755,0.0,0.1179,0.1271
0.7224,0.0,0.1065,0.1711
0.738,0.0,0.1353,0.1267
0.7304,0.0,0.2157,0.0539
0.6913,0.0,0.1748,0.1339
0.862,0.0,0.0006,0.1374
0.7223,0.0,0.0957,0.182
0.5967,0.0,0.2075,0.1958
0.6985,0.0,0.1787,0.1228
0.7106,0.0,0.2331,0.0563
0.724,0.0,0.0805,0.1955
0.7037,0.0,0.2468,0.0495
0.8733,0.0,0.0747,0.052
0.8905,0.0,0.0547,0.0548
0.7592,0.0238,0.0988,0.1182
