0,1,2,3
0.5414,0.158,0.1766,0.124
0.6146,0.0004,0.1556,0.2294
0.5427,0.1224,0.0528,0.2821
0.6247,0.0001,0.0898,0.2854
0.6781,0.0007,0.1785,0.1427
0.5064,0.0003,0.0126,0.4807
0.5708,0.0004,0.0523,0.3765
0.6659,0.0004,0.0302,0.3035
0.6447,0.0,0.0082,0.3471
0.6195,0.0,0.0272,0.3533
0.573,0.0,0.196,0.231
0.5341,0.0009,0.0509,0.4141
0.5841,0.0016,0.1072,0.3071
0.5785,0.0007,0.0453,0.3755
0.5907,0.0002,0.1288,0.2803
0.6218,0.0001,0.1659,0.2122
0.5418,0.0007,0.1238,0.3337
0.524,0.1201,0.0459,0.31
0.5719,0.133,0.2045,0.0906
0.5445,0.0001,0.1066,0.3488
0.6067,0.0004,0.097,0.2959
0.5925,0.0645,0.0,0.343
0.6038,0.0005,0.0638,0.3319
0.5563,0.0002,0.1635,0.28
0.5944,0.0001,0.1427,0.2628
0.594,0.0,0.0232,0.3828
0.5093,0.0001,0.2076,0.283
0.5276,0.0001,0.0464,0.4259
0.6568,0.0002,0.1755,0.1675
0.6057,0.0,0.0844,0.3099
0.5696,0.0004,0.2246,0.2054
0.6254,0.0,0.0741,0.3005
0.6563,0.0003,0.1528,0.1906
0.5829,0.0,0.0129,0.4042
0.6159,0.0,0.1827,0.2014
0.6586,0.0001,0.1149,0.2264
0.5997,0.0002,0.1028,0.2973
0.6557,0.0001,0.0377,0.3065
0.535,0.0,0.0538,0.4112
0.5939,0.0,0.1811,0.225
0.4874,0.0,0.1438,0.3688
0.639,0.0,0.0176,0.3434
0.5406,0.0003,0.1767,0.2824
0.5623,0.0002,0.1035,0.334
0.6726,0.0005,0.2051,0.1218
0.529,0.0005,0.0436,0.4269
0.5979,0.0,0.0001,0.402
0.5625,0.0,0.1912,0.2463
0.5183,0.0003,0.186,0.2954
0.6724,0.0003,0.1007,0.2266
0.5835,0.0,0.0081,0.4084
0.6108,0.0,0.0788,0.3104
0.619,0.0,0.1042,0.2768
0.6598,0.0,0.1682,0.172
0.5904,0.0001,0.0222,0.3873
0.6324,0.0002,0.0501,0.3173
0.5345,0.0844,0.1526,0.2285
0.5441,0.0003,0.132,0.3236
0.5934,0.0001,0.0325,0.374
0.5673,0.0,0.0771,0.3556
0.6298,0.0,0.132,0.2382
0.5615,0.134,0.2113,0.0932
0.5966,0.0001,0.1408,0.2625
0.6162,0.0001,0.0463,0.3374
0.5719,0.0001,0.1511,0.2769
0.5923,0.0003,0.0224,0.385
0.6084,0.0002,0.1663,0.2251
0.5995,0.0002,0.0006,0.3997
0.5961,0.0001,0.0226,0.3812
0.6387,0.0002,0.0253,0.3358
0.5383,0.0002,0.0314,0.4301
0.6782,0.0004,0.11,0.2114
0.6336,0.0002,0.1625,0.2037
0.6045,0.001,0.1776,0.2169
0.6677,0.0,0.2491,0.0832
0.644,0.0573,0.0199,0.2788
0.5631,0.0002,0.0233,0.4134
0.592,0.0002,0.1656,0.2422
0.7158,0.0,0.1348,0.1494
0.5517,0.0007,0.1208,0.3268
0.56,0.0003,0.2127,0.227
0.6202,0.0005,0.2345,0.1448
0.5733,0.0001,0.0301,0.3965
0.5587,0.0013,0.0007,0.4393
0.6042,0.0001,0.1947,0.201
0.5801,0.1691,0.1519,0.0989
0.5285,0.0006,0.1946,0.2763
0.5191,0.0001,0.153,0.3278
0.59,0.0001,0.1705,0.2394
0.5594,0.0001,0.0378,0.4027
0.5008,0.0,0.1833,0.3159
0.6712,0.0,0.1355,0.1933
0.6213,0.0002,0.0577,0.3208
0.5154,0.0,0.077,0.4076
0.6521,0.1325,0.0265,0.1889
0.5559,0.0,0.0961,0.348
0.6096,0.0,0.0004,0.39
0.666,0.0007,0.0813,0.252
0.6368,0.0001,0.0966,0.2665
0.5741,0.0008,0.1841,0.241
