0,1,2,3
0.587,0.1417,0.0018,0.2695
0.5812,0.2276,0.0,0.1912
0.5854,0.0876,0.0002,0.3268
0.5584,0.304,0.0006,0.137
0.5856,0.2985,0.0012,0.1147
0.6422,0.106,0.0011,0.2507
0.5322,0.064,0.0003,0.4035
0.6072,0.1042,0.0002,0.2884
0.5774,0.0191,0.0008,0.4027
0.5879,0.1913,0.0001,0.2207
0.5776,0.2293,0.0003,0.1928
0.5715,0.1086,0.0,0.3199
0.5521,0.0911,0.0002,0.3566
0.596,0.1308,0.0004,0.2728
0.6796,0.1865,0.0002,0.1337
0.5587,0.2151,0.0006,0.2256
0.5795,0.2054,0.0002,0.2149
0.7153,0.1408,0.0,0.1439
0.6453,0.2217,0.0002,0.1328
0.6445,0.2561,0.0001,0.0993
0.6361,0.1433,0.0,0.2206
0.5683,0.0138,0.0,0.4179
0.5834,0.2191,0.0002,0.1973
0.5599,0.1983,0.083,0.1588
0.6117,0.1063,0.0,0.282
0.6012,0.1447,0.0317,0.2224
0.6448,0.2096,0.0001,0.1455
0.5836,0.0554,0.0004,0.3606
0.5196,0.198,0.0004,0.282
0.6319,0.2063,0.0,0.1618
0.6152,0.2011,0.0001,0.1836
0.5991,0.2678,0.0994,0.0337
0.5726,0.1231,0.0003,0.304
0.5633,0.063,0.0001,0.3736
0.5236,0.0797,0.0006,0.3961
0.5716,0.2784,0.0,0.15
0.6155,0.0151,0.0004,0.369
0.6294,0.1444,0.0,0.2262
0.663,0.032,0.0001,0.3049
0.4829,0.1086,0.0003,0.4082
0.6192,0.1058,0.0003,0.2747
0.5567,0.2007,0.0003,0.2423
0.6156,0.3014,0.0,0.083
0.5998,0.2449,0.0009,0.1544
0.5434,0.1156,0.0595,0.2815
0.5716,0.0505,0.0006,0.3773
0.5603,0.078,0.0009,0.3608
0.5821,0.1942,0.0003,0.2234
0.6029,0.2428,0.0,0.1543
0.5457,0.2343,0.0005,0.2195
0.5987,0.0515,0.0,0.3498
0.551,0.2194,0.0003,0.2293
0.5704,0.0579,0.0001,0.3716
0.6445,0.16,0.0005,0.195
0.6452,0.0219,0.0,0.3329
0.5977,0.2288,0.0,0.1735
0.5903,0.1107,0.0002,0.2988
0.6857,0.1336,0.0002,0.1805
0.5857,0.123,0.0001,0.2912
0.5308,0.2104,0.0007,0.2581
0.6152,0.1841,0.0002,0.2005
0.648,0.2351,0.0002,0.1167
0.673,0.1457,0.0001,0.1812
0.6342,0.1134,0.0003,0.2521
0.5001,0.2951,0.0001,0.2047
0.5604,0.2438,0.0005,0.1953
0.5124,0.1725,0.0,0.3151
0.506,0.1114,0.0,0.3826
0.5809,0.1251,0.0007,0.2933
0.6654,0.062,0.0001,0.2725
0.561,0.1623,0.1075,0.1692
0.5449,0.0312,0.0015,0.4224
0.6454,0.2828,0.0,0.0718
0.5599,0.1687,0.1251,0.1463
0.5782,0.0953,0.0,0.3265
0.6233,0.3158,0.0011,0.0598
0.4839,0.0943,0.2076,0.2142
0.622,0.0445,0.0007,0.3328
0.59,0.2803,0.0,0.1297
0.6403,0.1276,0.0,0.2321
0.5992,0.1209,0.0007,0.2792
0.5472,0.2307,0.0002,0.2219
0.5205,0.1781,0.0843,0.2171
0.6212,0.1981,0.0484,0.1323
0.6299,0.0269,0.0,0.3432
0.528,0.1224,0.0001,0.3495
0.5505,0.2657,0.0,0.1838
0.6126,0.2191,0.0002,0.1681
0.5354,0.0774,0.0641,0.3231
0.5907,0.2768,0.0001,0.1324
0.6122,0.3141,0.0001,0.0736
0.594,0.1285,0.0002,0.2773
0.6298,0.2912,0.0002,0.0788
0.5686,0.2322,0.0002,0.199
0.5975,0.1106,0.001,0.2909
0.6387,0.2086,0.0002,0.1525
0.6447,0.0411,0.0001,0.3141
0.6815,0.0482,0.0018,0.2685
0.5805,0.0097,0.0,0.4098
0.6207,0.1701,0.0001,0.2091
