0,1,2,3
0.3154,0.2408,0.4436,0.0002
0.2921,0.1646,0.5429,0.0004
0.4488,0.2872,0.2637,0.0003
0.3294,0.2441,0.426,0.0005
0.2394,0.5458,0.2134,0.0014
0.4448,0.2791,0.2754,0.0007
0.2048,0.4817,0.1115,0.202
0.1977,0.2639,0.5369,0.0015
0.3267,0.1738,0.4966,0.0029
0.2187,0.241,0.5392,0.0011
0.4817,0.0752,0.4427,0.0004
0.4812,0.2225,0.2963,0.0
0.2707,0.4782,0.2501,0.001
0.3704,0.145,0.2365,0.2481
0.2109,0.3727,0.4152,0.0012
0.3768,0.3196,0.3032,0.0004
0.2636,0.5063,0.2293,0.0008
0.2431,0.3445,0.4117,0.0007
0.4109,0.1927,0.394,0.0024
0.141,0.3522,0.5032,0.0036
0.2884,0.4501,0.2567,0.0048
0.2387,0.2434,0.5177,0.0002
0.1062,0.4526,0.0316,0.4096
0.3426,0.083,0.5729,0.0015
0.361,0.3644,0.2741,0.0005
0.4757,0.0254,0.4956,0.0033
0.211,0.2631,0.1236,0.4023
0.0611,0.5599,0.3786,0.0004
0.2906,0.2786,0.2446,0.1862
0.3466,0.2219,0.4309,0.0006
0.4302,0.0265,0.5401,0.0032
0.2519,0.214,0.5338,0.0003
0.2752,0.3032,0.4207,0.0009
0.3061,0.0753,0.6175,0.0011
0.1644,0.3523,0.0869,0.3964
0.2175,0.3639,0.4142,0.0044
0.3424,0.0002,0.6574,0.0
0.3699,0.1379,0.4906,0.0016
0.3714,0.2237,0.403,0.0019
0.454,0.1113,0.4323,0.0024
0.3214,0.4586,0.2178,0.0022
0.3503,0.3774,0.2723,0.0
0.3257,0.1665,0.5078,0.0
0.3153,0.1754,0.5063,0.003
0.3171,0.3289,0.3534,0.0006
0.2251,0.3945,0.3802,0.0002
0.3792,0.5897,0.0309,0.0002
0.3371,0.6179,0.0445,0.0005
0.4078,0.165,0.4269,0.0003
0.4407,0.2176,0.3415,0.0002
0.3408,0.215,0.4428,0.0014
0.2125,0.4233,0.3633,0.0009
0.2272,0.5829,0.189,0.0009
0.2191,0.5221,0.2569,0.0019
0.3527,0.5099,0.1356,0.0018
0.1437,0.4753,0.3782,0.0028
0.3528,0.2864,0.3595,0.0013
0.3548,0.4793,0.1657,0.0002
0.3772,0.2623,0.3591,0.0014
0.3116,0.242,0.2085,0.2379
0.4024,0.293,0.3042,0.0004
0.4262,0.5425,0.0313,0.0
0.3407,0.0757,0.5836,0.0
0.3577,0.2781,0.3618,0.0024
0.3525,0.1799,0.4673,0.0003
0.1533,0.1987,0.6473,0.0007
0.4719,0.1536,0.3736,0.0009
0.3704,0.1406,0.489,0.0
0.2916,0.3962,0.3108,0.0014
0.0999,0.4888,0.41,0.0013
0.3177,0.373,0.307,0.0023
0.235,0.4672,0.2969,0.0009
0.26,0.5876,0.1504,0.002
0.2367,0.3813,0.1347,0.2473
0.2252,0.2902,0.0016,0.483
0.1801,0.1755,0.118,0.5264
0.3863,0.0013,0.6119,0.0005
0.3357,0.203,0.4613,0.0
0.2109,0.1032,0.6857,0.0002
0.2688,0.5913,0.1389,0.001
0.2818,0.3423,0.3753,0.0006
0.2102,0.3311,0.4579,0.0008
0.3219,0.2951,0.3826,0.0004
0.4915,0.0566,0.4519,0.0
0.2483,0.6074,0.1425,0.0018
0.2489,0.3231,0.4262,0.0018
0.4512,0.0325,0.5163,0.0
0.2619,0.3347,0.4033,0.0001
0.2779,0.4945,0.2272,0.0004
0.4011,0.0212,0.5773,0.0004
0.2633,0.5619,0.1735,0.0013
0.3159,0.4708,0.2131,0.0002
0.3853,0.167,0.4466,0.0011
0.3575,0.4355,0.2056,0.0014
0.3911,0.1151,0.4906,0.0032
0.2489,0.4075,0.3424,0.0012
0.4884,0.2402,0.27,0.0014
0.3572,0.0893,0.5526,0.0009
0.2038,0.5759,0.2192,0.0011
0.4151,0.4304,0.1544,0.0001
