1,1.1,1.1.3,1.1.3.2,1.2.2,2,2.2,2.2.1,3,3.1.1,3.1.2,4,4.3,4.3.4,4.3.4.2,4.3.4.2.1,4.9
75.0,75.0,75.0,75,75.0,117.0,117.0,117.0,31.0,31.0,31.0,386.0,386.0,386.0,386.0,386.0,386.0
93.0,93.0,93.0,93,93.0,133.0,133.0,133.0,179.0,179.0,179.0,554.0,554.0,554.0,554.0,554.0,554.0
207.0,207.0,207.0,207,207.0,277.0,277.0,277.0,223.0,223.0,223.0,678.0,678.0,678.0,678.0,678.0,678.0
211.0,211.0,211.0,211,211.0,451.0,451.0,451.0,401.0,401.0,401.0,872.0,872.0,872.0,872.0,872.0,872.0
219.0,219.0,219.0,219,219.0,763.0,763.0,763.0,467.0,467.0,467.0,956.0,956.0,956.0,956.0,956.0,956.0
243.0,243.0,243.0,243,243.0,897.0,897.0,897.0,513.0,513.0,513.0,1056.0,1056.0,1056.0,1056.0,1056.0,1056.0
305.0,305.0,305.0,305,305.0,1149.0,1149.0,1149.0,515.0,515.0,515.0,1182.0,1182.0,1182.0,1182.0,1182.0,1182.0
369.0,369.0,369.0,369,369.0,1201.0,1201.0,1201.0,573.0,573.0,573.0,1184.0,1184.0,1184.0,1184.0,1184.0,1184.0
413.0,413.0,413.0,413,413.0,1449.0,1449.0,1449.0,695.0,695.0,695.0,1202.0,1202.0,1202.0,1202.0,1202.0,1202.0
437.0,437.0,437.0,437,437.0,1511.0,1511.0,1511.0,725.0,725.0,725.0,1226.0,1226.0,1226.0,1226.0,1226.0,1226.0
447.0,447.0,447.0,447,447.0,1609.0,1609.0,1609.0,741.0,741.0,741.0,1268.0,1268.0,1268.0,1268.0,1268.0,1268.0
449.0,449.0,449.0,449,449.0,1815.0,1815.0,1815.0,747.0,747.0,747.0,1300.0,1300.0,1300.0,1300.0,1300.0,1300.0
477.0,477.0,477.0,477,477.0,1847.0,1847.0,1847.0,807.0,807.0,807.0,1346.0,1346.0,1346.0,1346.0,1346.0,1346.0
479.0,479.0,479.0,479,479.0,2155.0,2155.0,2155.0,853.0,853.0,853.0,1398.0,1398.0,1398.0,1398.0,1398.0,1398.0
505.0,505.0,505.0,505,505.0,2413.0,2413.0,2413.0,875.0,875.0,875.0,1522.0,1522.0,1522.0,1522.0,1522.0,1522.0
549.0,549.0,549.0,549,549.0,2559.0,2559.0,2559.0,915.0,915.0,915.0,1716.0,1716.0,1716.0,1716.0,1716.0,1716.0
739.0,739.0,739.0,739,739.0,2613.0,2613.0,2613.0,1043.0,1043.0,1043.0,1764.0,1764.0,1764.0,1764.0,1764.0,1764.0
789.0,789.0,789.0,789,789.0,2817.0,2817.0,2817.0,1047.0,1047.0,1047.0,2060.0,2060.0,2060.0,2060.0,2060.0,2060.0
861.0,861.0,861.0,861,861.0,3271.0,3271.0,3271.0,1049.0,1049.0,1049.0,2128.0,2128.0,2128.0,2128.0,2128.0,2128.0
879.0,879.0,879.0,879,879.0,3303.0,3303.0,3303.0,1065.0,1065.0,1065.0,2256.0,2256.0,2256.0,2256.0,2256.0,2256.0
901.0,901.0,901.0,901,901.0,3429.0,3429.0,3429.0,1229.0,1229.0,1229.0,2312.0,2312.0,2312.0,2312.0,2312.0,2312.0
923.0,923.0,923.0,923,923.0,3443.0,3443.0,3443.0,1241.0,1241.0,1241.0,2408.0,2408.0,2408.0,2408.0,2408.0,2408.0
965.0,965.0,965.0,965,965.0,3497.0,3497.0,3497.0,1273.0,1273.0,1273.0,2436.0,2436.0,2436.0,2436.0,2436.0,2436.0
973.0,973.0,973.0,973,973.0,3879.0,3879.0,3879.0,1415.0,1415.0,1415.0,2514.0,2514.0,2514.0,2514.0,2514.0,2514.0
991.0,991.0,991.0,991,991.0,3887.0,3887.0,3887.0,1453.0,1453.0,1453.0,2626.0,2626.0,2626.0,2626.0,2626.0,2626.0
1027.0,1027.0,1027.0,1027,1027.0,3987.0,3987.0,3987.0,1501.0,1501.0,1501.0,2644.0,2644.0,2644.0,2644.0,2644.0,2644.0
1063.0,1063.0,1063.0,1063,1063.0,4155.0,4155.0,4155.0,1705.0,1705.0,1705.0,2684.0,2684.0,2684.0,2684.0,2684.0,2684.0
1095.0,1095.0,1095.0,1095,1095.0,4201.0,4201.0,4201.0,1725.0,1725.0,1725.0,2692.0,2692.0,2692.0,2692.0,2692.0,2692.0
1111.0,1111.0,1111.0,1111,1111.0,4389.0,4389.0,4389.0,1833.0,1833.0,1833.0,2754.0,2754.0,2754.0,2754.0,2754.0,2754.0
1187.0,1187.0,1187.0,1187,1187.0,4603.0,4603.0,4603.0,2015.0,2015.0,2015.0,2916.0,2916.0,2916.0,2916.0,2916.0,2916.0
1193.0,1193.0,1193.0,1193,1193.0,4625.0,4625.0,4625.0,2049.0,2049.0,2049.0,3144.0,3144.0,3144.0,3144.0,3144.0,3144.0
1299.0,1299.0,1299.0,1299,1299.0,4917.0,4917.0,4917.0,2125.0,2125.0,2125.0,3366.0,3366.0,3366.0,3366.0,3366.0,3366.0
1309.0,1309.0,1309.0,1309,1309.0,5065.0,5065.0,5065.0,2191.0,2191.0,2191.0,3510.0,3510.0,3510.0,3510.0,3510.0,3510.0
1337.0,1337.0,1337.0,1337,1337.0,5217.0,5217.0,5217.0,2213.0,2213.0,2213.0,3902.0,3902.0,3902.0,3902.0,3902.0,3902.0
1367.0,1367.0,1367.0,1367,1367.0,5423.0,5423.0,5423.0,2223.0,2223.0,2223.0,3924.0,3924.0,3924.0,3924.0,3924.0,3924.0
1371.0,1371.0,1371.0,1371,1371.0,5483.0,5483.0,5483.0,2225.0,2225.0,2225.0,3946.0,3946.0,3946.0,3946.0,3946.0,3946.0
1421.0,1421.0,1421.0,1421,1421.0,5811.0,5811.0,5811.0,2231.0,2231.0,2231.0,4180.0,4180.0,4180.0,4180.0,4180.0,4180.0
1431.0,1431.0,1431.0,1431,1431.0,5867.0,5867.0,5867.0,2239.0,2239.0,2239.0,4594.0,4594.0,4594.0,4594.0,4594.0,4594.0
1443.0,1443.0,1443.0,1443,1443.0,5945.0,5945.0,5945.0,2351.0,2351.0,2351.0,5030.0,5030.0,5030.0,5030.0,5030.0,5030.0
1489.0,1489.0,1489.0,1489,1489.0,6123.0,6123.0,6123.0,2513.0,2513.0,2513.0,5192.0,5192.0,5192.0,5192.0,5192.0,5192.0
1497.0,1497.0,1497.0,1497,1497.0,6373.0,6373.0,6373.0,2529.0,2529.0,2529.0,5260.0,5260.0,5260.0,5260.0,5260.0,5260.0
1507.0,1507.0,1507.0,1507,1507.0,6511.0,6511.0,6511.0,2531.0,2531.0,2531.0,5264.0,5264.0,5264.0,5264.0,5264.0,5264.0
1545.0,1545.0,1545.0,1545,1545.0,6561.0,6561.0,6561.0,2533.0,2533.0,2533.0,5310.0,5310.0,5310.0,5310.0,5310.0,5310.0
1559.0,1559.0,1559.0,1559,1559.0,7081.0,7081.0,7081.0,2577.0,2577.0,2577.0,5902.0,5902.0,5902.0,5902.0,5902.0,5902.0
1639.0,1639.0,1639.0,1639,1639.0,7615.0,7615.0,7615.0,2669.0,2669.0,2669.0,6036.0,6036.0,6036.0,6036.0,6036.0,6036.0
1643.0,1643.0,1643.0,1643,1643.0,7745.0,7745.0,7745.0,2681.0,2681.0,2681.0,6058.0,6058.0,6058.0,6058.0,6058.0,6058.0
1651.0,1651.0,1651.0,1651,1651.0,7935.0,7935.0,7935.0,2715.0,2715.0,2715.0,6100.0,6100.0,6100.0,6100.0,6100.0,6100.0
1663.0,1663.0,1663.0,1663,1663.0,7937.0,7937.0,7937.0,2807.0,2807.0,2807.0,6254.0,6254.0,6254.0,6254.0,6254.0,6254.0
1701.0,1701.0,1701.0,1701,1701.0,8041.0,8041.0,8041.0,2935.0,2935.0,2935.0,6334.0,6334.0,6334.0,6334.0,6334.0,6334.0
1811.0,1811.0,1811.0,1811,1811.0,8329.0,8329.0,8329.0,2949.0,2949.0,2949.0,6456.0,6456.0,6456.0,6456.0,6456.0,6456.0
1841.0,1841.0,1841.0,1841,1841.0,8351.0,8351.0,8351.0,3073.0,3073.0,3073.0,6470.0,6470.0,6470.0,6470.0,6470.0,6470.0
1843.0,1843.0,1843.0,1843,1843.0,8469.0,8469.0,8469.0,3107.0,3107.0,3107.0,6490.0,6490.0,6490.0,6490.0,6490.0,6490.0
1849.0,1849.0,1849.0,1849,1849.0,8801.0,8801.0,8801.0,3157.0,3157.0,3157.0,6506.0,6506.0,6506.0,6506.0,6506.0,6506.0
1865.0,1865.0,1865.0,1865,1865.0,8849.0,8849.0,8849.0,3439.0,3439.0,3439.0,6550.0,6550.0,6550.0,6550.0,6550.0,6550.0
1909.0,1909.0,1909.0,1909,1909.0,8915.0,8915.0,8915.0,3489.0,3489.0,3489.0,6666.0,6666.0,6666.0,6666.0,6666.0,6666.0
1937.0,1937.0,1937.0,1937,1937.0,9055.0,9055.0,9055.0,3657.0,3657.0,3657.0,6790.0,6790.0,6790.0,6790.0,6790.0,6790.0
1995.0,1995.0,1995.0,1995,1995.0,9081.0,9081.0,9081.0,3695.0,3695.0,3695.0,6800.0,6800.0,6800.0,6800.0,6800.0,6800.0
1997.0,1997.0,1997.0,1997,1997.0,9147.0,9147.0,9147.0,3817.0,3817.0,3817.0,6822.0,6822.0,6822.0,6822.0,6822.0,6822.0
2029.0,2029.0,2029.0,2029,2029.0,9175.0,9175.0,9175.0,3843.0,3843.0,3843.0,7124.0,7124.0,7124.0,7124.0,7124.0,7124.0
2109.0,2109.0,2109.0,2109,2109.0,9201.0,9201.0,9201.0,3869.0,3869.0,3869.0,7134.0,7134.0,7134.0,7134.0,7134.0,7134.0
2173.0,2173.0,2173.0,2173,2173.0,9343.0,9343.0,9343.0,3885.0,3885.0,3885.0,7274.0,7274.0,7274.0,7274.0,7274.0,7274.0
2205.0,2205.0,2205.0,2205,2205.0,,55.0,55.0,4067.0,4067.0,4067.0,7386.0,7386.0,7386.0,7386.0,7386.0,7386.0
2215.0,2215.0,2215.0,2215,2215.0,,385.0,385.0,4093.0,4093.0,4093.0,7500.0,7500.0,7500.0,7500.0,7500.0,7500.0
2229.0,2229.0,2229.0,2229,2229.0,,423.0,423.0,4101.0,4101.0,4101.0,7682.0,7682.0,7682.0,7682.0,7682.0,7682.0
2253.0,2253.0,2253.0,2253,2253.0,,545.0,545.0,4193.0,4193.0,4193.0,7768.0,7768.0,7768.0,7768.0,7768.0,7768.0
2271.0,2271.0,2271.0,2271,2271.0,,593.0,593.0,4249.0,4249.0,4249.0,7794.0,7794.0,7794.0,7794.0,7794.0,7794.0
2273.0,2273.0,2273.0,2273,2273.0,,595.0,595.0,4269.0,4269.0,4269.0,8044.0,8044.0,8044.0,8044.0,8044.0,8044.0
2297.0,2297.0,2297.0,2297,2297.0,,619.0,619.0,4309.0,4309.0,4309.0,8200.0,8200.0,8200.0,8200.0,8200.0,8200.0
2301.0,2301.0,2301.0,2301,2301.0,,731.0,731.0,4421.0,4421.0,4421.0,8336.0,8336.0,8336.0,8336.0,8336.0,8336.0
2321.0,2321.0,2321.0,2321,2321.0,,737.0,737.0,4629.0,4629.0,4629.0,8380.0,8380.0,8380.0,8380.0,8380.0,8380.0
2331.0,2331.0,2331.0,2331,2331.0,,813.0,813.0,4877.0,4877.0,4877.0,8394.0,8394.0,8394.0,8394.0,8394.0,8394.0
2357.0,2357.0,2357.0,2357,2357.0,,911.0,911.0,4893.0,4893.0,4893.0,8596.0,8596.0,8596.0,8596.0,8596.0,8596.0
2393.0,2393.0,2393.0,2393,2393.0,,927.0,927.0,4899.0,4899.0,4899.0,8606.0,8606.0,8606.0,8606.0,8606.0,8606.0
2399.0,2399.0,2399.0,2399,2399.0,,1105.0,1105.0,4981.0,4981.0,4981.0,8642.0,8642.0,8642.0,8642.0,8642.0,8642.0
2447.0,2447.0,2447.0,2447,2447.0,,1343.0,1343.0,5021.0,5021.0,5021.0,8652.0,8652.0,8652.0,8652.0,8652.0,8652.0
2459.0,2459.0,2459.0,2459,2459.0,,1641.0,1641.0,5059.0,5059.0,5059.0,8928.0,8928.0,8928.0,8928.0,8928.0,8928.0
2463.0,2463.0,2463.0,2463,2463.0,,1675.0,1675.0,5115.0,5115.0,5115.0,9028.0,9028.0,9028.0,9028.0,9028.0,9028.0
2467.0,2467.0,2467.0,2467,2467.0,,1819.0,1819.0,5131.0,5131.0,5131.0,9218.0,9218.0,9218.0,9218.0,9218.0,9218.0
2497.0,2497.0,2497.0,2497,2497.0,,1943.0,1943.0,5319.0,5319.0,5319.0,9512.0,9512.0,9512.0,9512.0,9512.0,9512.0
2535.0,2535.0,2535.0,2535,2535.0,,1991.0,1991.0,5329.0,5329.0,5329.0,,43.0,43.0,43.0,43.0,192.0
2545.0,2545.0,2545.0,2545,2545.0,,2047.0,2047.0,5343.0,5343.0,5343.0,,481.0,481.0,481.0,481.0,246.0
2603.0,2603.0,2603.0,2603,2603.0,,2203.0,2203.0,5417.0,5417.0,5417.0,,1253.0,1253.0,1253.0,1253.0,568.0
2639.0,2639.0,2639.0,2639,2639.0,,2355.0,2355.0,5457.0,5457.0,5457.0,,1307.0,1307.0,1307.0,1307.0,628.0
2655.0,2655.0,2655.0,2655,2655.0,,2517.0,2517.0,5573.0,5573.0,5573.0,,1613.0,1613.0,1613.0,1613.0,708.0
2815.0,2815.0,2815.0,2815,2815.0,,2761.0,2761.0,5775.0,5775.0,5775.0,,1703.0,1703.0,1703.0,1703.0,828.0
2819.0,2819.0,2819.0,2819,2819.0,,2773.0,2773.0,5789.0,5789.0,5789.0,,1733.0,1733.0,1733.0,1733.0,940.0
2821.0,2821.0,2821.0,2821,2821.0,,2825.0,2825.0,5825.0,5825.0,5825.0,,1757.0,1757.0,1757.0,1757.0,1024.0
2893.0,2893.0,2893.0,2893,2893.0,,3243.0,3243.0,5847.0,5847.0,5847.0,,1805.0,1805.0,1805.0,1805.0,1262.0
2925.0,2925.0,2925.0,2925,2925.0,,3343.0,3343.0,5869.0,5869.0,5869.0,,2435.0,2435.0,2435.0,2435.0,2012.0
2927.0,2927.0,2927.0,2927,2927.0,,3397.0,3397.0,5941.0,5941.0,5941.0,,2503.0,2503.0,2503.0,2503.0,2156.0
2941.0,2941.0,2941.0,2941,2941.0,,3435.0,3435.0,6031.0,6031.0,6031.0,,2605.0,2605.0,2605.0,2605.0,2194.0
2943.0,2943.0,2943.0,2943,2943.0,,3509.0,3509.0,6051.0,6051.0,6051.0,,3077.0,3077.0,3077.0,3077.0,2978.0
2955.0,2955.0,2955.0,2955,2955.0,,3531.0,3531.0,6081.0,6081.0,6081.0,,3639.0,3639.0,3639.0,3639.0,3682.0
2961.0,2961.0,2961.0,2961,2961.0,,3921.0,3921.0,6285.0,6285.0,6285.0,,4135.0,4135.0,4135.0,4135.0,4064.0
2983.0,2983.0,2983.0,2983,2983.0,,4007.0,4007.0,6305.0,6305.0,6305.0,,4335.0,4335.0,4335.0,4335.0,4292.0
3027.0,3027.0,3027.0,3027,3027.0,,4489.0,4489.0,6321.0,6321.0,6321.0,,5393.0,5393.0,5393.0,5393.0,4862.0
3029.0,3029.0,3029.0,3029,3029.0,,4611.0,4611.0,6357.0,6357.0,6357.0,,5937.0,5937.0,5937.0,5937.0,4896.0
3057.0,3057.0,3057.0,3057,3057.0,,4679.0,4679.0,6397.0,6397.0,6397.0,,6663.0,6663.0,6663.0,6663.0,6020.0
