avg,long_bar,mean
0.21,25,0.23435843054082717
0.26,50,0.24635897435897436
0.22,16,0.45060975609756093
0.21,30,0.22878787878787876
0.26,30,0.24545454545454545
0.24,58,0.20000000000000004
0.19,13,0.2620751341681574
0.26,26,0.23059440559440558
0.24,29,0.19834330418775883
0.26,25,0.19006211180124222
0.24,46,0.23646563814866758
0.31,16,0.17857142857142852
0.26,55,0.2662857142857143
0.22,36,0.19614035087719298
0.24,75,0.22572533849129592
0.24,20,0.25
0.26,23,0.2476718403547672
0.21,17,0.28439716312056734
0.26,38,0.24774193548387094
0.23,24,0.20634920634920637
0.26,22,0.19160134378499438
0.22,11,0.2520833333333333
0.26,122,0.22882758620689655
0.24,107,0.21988304093567254
0.24,56,0.23340961098398172
0.24,58,0.22365728900255752
0.26,94,0.2393617021276596
0.31,23,0.2822222222222222
0.24,114,0.234816247582205
0.22,19,0.24969696969696967
0.24,44,0.22243589743589742
0.26,41,0.21904761904761902
0.21,23,0.2064348728593669
0.28,17,0.1925802879291251
0.23,18,0.2256838905775076
0.24,32,0.2666666666666667
0.26,35,0.23047619047619047
0.24,32,0.22494714587737843
0.23,18,0.27229437229437226
0.24,34,0.2575
0.24,30,0.1918478260869565
0.26,78,0.24767441860465114
0.24,26,0.3019102990033222
0.24,34,0.24347826086956523
0.21,15,0.20107317073170736
0.32,16,0.19490196078431374
0.2,22,0.20363636363636364
0.26,36,0.2515942028985507
0.26,74,0.26064516129032256
0.22,26,0.21289111389236545
0.26,38,0.44299999999999995
0.26,102,0.22857142857142856
0.23,16,0.23379065040650407
0.26,182,0.20000000000000004
0.45,38,0.44782608695652176
0.27,52,0.20394088669950738
0.26,62,0.23507598784194528
0.49,57,0.44264705882352934
0.26,39,0.2333333333333333
0.26,70,0.2316666666666667
0.24,25,0.24283783783783786
0.26,27,0.25335365853658537
0.18,16,0.21880434782608696
0.31,13,0.3009090909090909
0.24,32,0.21339950372208438
0.44,14,0.4266666666666667
0.22,32,0.2039355992844365
0.26,18,0.28937728937728935
0.21,24,0.20178571428571432
0.24,170,0.2288645690834473
0.21,21,0.2073529411764706
0.22,49,0.21666666666666667
0.21,49,0.2057455540355677
0.24,132,0.2224271012006861
0.24,26,0.26652828230409964
0.28,20,0.2554112554112554
0.24,19,0.26378378378378375
0.3,21,0.21428571428571427
0.2,26,0.23244206773618536
0.24,52,0.2275438596491228
0.24,42,0.28068181818181814
0.24,33,0.23297101449275362
0.26,21,0.255
0.24,103,0.25411454904542463
0.2,13,0.24789473684210528
0.24,59,0.22545454545454546
0.18,15,0.23372093023255813
0.26,31,0.18722222222222226
0.24,43,0.2490909090909091
0.22,119,0.2179120879120879
0.28,47,0.2252173913043478
0.2,29,0.2532467532467532
0.21,30,0.197979797979798
0.26,33,0.21000000000000005
0.26,99,0.2393617021276596
0.26,140,0.2543720190779014
0.24,166,0.22857142857142856
0.24,113,0.21806722689075628
0.19,17,0.2655826558265582
0.23,123,0.2367588932806324
0.22,39,0.1869090909090909
0.26,41,0.21092436974789916
0.49,13,0.43333333333333335
0.24,11,0.24329004329004325
0.24,150,0.22850678733031674
0.22,24,0.18974358974358974
0.44,39,0.42448979591836733
0.31,18,0.20707317073170736
0.22,77,0.22152492668621704
0.24,72,0.23607954545454546
0.22,22,0.2543735224586288
0.21,34,0.20078431372549022
0.26,75,0.21638814016172503
0.26,29,0.23192934782608696
0.24,33,0.23395833333333335
0.24,129,0.2271106941838649
0.26,35,0.21696969696969695
0.26,212,0.19600000000000004
0.25,113,0.22686170212765955
0.24,42,0.23613193403298352
0.24,21,0.21818181818181817
0.21,71,0.20434782608695654
0.26,76,0.2665728360309641
0.24,53,0.242741935483871
0.26,9,0.2601073345259392
