1,1.1,1.1.3,1.1.3.2,1.2.2,2,2.2,2.2.1,3,3.1.1,3.1.2,4,4.3,4.3.4,4.3.4.2,4.3.4.2.1,4.9
T22961G,T22961G,T22961G,T22961G,T22961G,G36008C,G36008C,G36008C,G12204A,G12204A,G12204A,T123520T,T123520T,T123520T,T123520T,T123520T,T123520T
C26347G,C26347G,C26347G,C26347G,C26347G,C39158G,C39158G,C39158G,G54842T,G54842T,G54842T,T199470T,T199470T,T199470T,T199470T,T199470T,T199470T
G65159A,G65159A,G65159A,G65159A,G65159A,C87468T,C87468T,C87468T,C69984A,C69984A,C69984A,G251575G,G251575G,G251575G,G251575G,G251575G,G251575G
C65663G,C65663G,C65663G,C65663G,C65663G,G147262T,G147262T,G147262T,A129576C,A129576C,A129576C,A342146A,A342146A,A342146A,A342146A,A342146A,A342146A
T68174C,T68174C,T68174C,T68174C,T68174C,C282892T,C282892T,C282892T,C157129T,C157129T,C157129T,T392261T,T392261T,T392261T,T392261T,T392261T,T392261T
T74737G,T74737G,T74737G,T74737G,T74737G,G353365A,G353365A,G353365A,G170671A,G170671A,G170671A,C445780C,C445780C,C445780C,C445780C,C445780C,C445780C
G98966C,G98966C,G98966C,G98966C,G98966C,C484596T,C484596T,C484596T,C172492G,C172492G,C172492G,T491742T,T491742T,T491742T,T491742T,T491742T,T491742T
T115499G,T115499G,T115499G,T115499G,T115499G,G497491A,G497491A,G497491A,G207079C,G207079C,G207079C,G492150G,G492150G,G492150G,G492150G,G492150G,G492150G
C137233T,C137233T,C137233T,C137233T,C137233T,T628864C,T628864C,T628864C,T255373C,T255373C,T255373C,A498531A,A498531A,A498531A,A498531A,A498531A,A498531A
C144564T,C144564T,C144564T,C144564T,C144564T,C657142T,C657142T,C657142T,T264992C,T264992C,T264992C,T517358T,T517358T,T517358T,T517358T,T517358T,T517358T
G146788A,G146788A,G146788A,G146788A,G146788A,T707334C,T707334C,T707334C,C274463A,C274463A,C274463A,A546357A,A546357A,A546357A,A546357A,A546357A,A546357A
C146872T,C146872T,C146872T,C146872T,C146872T,G798355C,G798355C,G798355C,G276539C,G276539C,G276539C,A555991A,A555991A,A555991A,A555991A,A555991A,A555991A
C160976G,C160976G,C160976G,C160976G,C160976G,C811753T,C811753T,C811753T,C301341A,C301341A,C301341A,T584171T,T584171T,T584171T,T584171T,T584171T,T584171T
G162226A,G162226A,G162226A,G162226A,G162226A,C972980T,C972980T,C972980T,C324812T,C324812T,C324812T,A599868A,A599868A,A599868A,A599868A,A599868A,A599868A
C167986T,C167986T,C167986T,C167986T,C167986T,C1102468A,C1102468A,C1102468A,C342873T,C342873T,C342873T,T662911T,T662911T,T662911T,T662911T,T662911T,T662911T
C196874T,C196874T,C196874T,C196874T,C196874T,T1168776G,T1168776G,T1168776G,G363563A,G363563A,G363563A,A757182A,A757182A,A757182A,A757182A,A757182A,A757182A
C272678T,C272678T,C272678T,C272678T,C272678T,A1201581C,A1201581C,A1201581C,C438470T,C438470T,C438470T,G776100G,G776100G,G776100G,G776100G,G776100G,G776100G
T290374C,T290374C,T290374C,T290374C,T290374C,C1317655T,C1317655T,C1317655T,G440365A,G440365A,G440365A,T931123T,T931123T,T931123T,T931123T,T931123T,T931123T
A326002G,A326002G,A326002G,A326002G,A326002G,T1556787C,T1556787C,T1556787C,C440878T,C440878T,C440878T,A960367A,A960367A,A960367A,A960367A,A960367A,A960367A
C344288G,C344288G,C344288G,C344288G,C344288G,G1577241A,G1577241A,G1577241A,G447642C,G447642C,G447642C,A1024346A,A1024346A,A1024346A,A1024346A,A1024346A,A1024346A
G357582A,G357582A,G357582A,G357582A,G357582A,T1643864C,T1643864C,T1643864C,C517389A,C517389A,C517389A,C1054784C,C1054784C,C1054784C,C1054784C,C1054784C,C1054784C
T378357G,T378357G,T378357G,T378357G,T378357G,A1651308G,A1651308G,A1651308G,C523654T,C523654T,C523654T,T1098523T,T1098523T,T1098523T,T1098523T,T1098523T,T1098523T
C393941T,C393941T,C393941T,C393941T,C393941T,A1678706C,A1678706C,A1678706C,T548326C,T548326C,T548326C,A1107940A,A1107940A,A1107940A,A1107940A,A1107940A,A1107940A
G396750A,G396750A,G396750A,G396750A,G396750A,A1831226G,A1831226G,A1831226G,C611977T,C611977T,C611977T,A1144585A,A1144585A,A1144585A,A1144585A,A1144585A,A1144585A
T406274C,T406274C,T406274C,T406274C,T406274C,A1834177C,A1834177C,A1834177C,G629714A,G629714A,G629714A,A1211369A,A1211369A,A1211369A,A1211369A,A1211369A,A1211369A
C420405T,C420405T,C420405T,C420405T,C420405T,A1877744C,A1877744C,A1877744C,T652950C,T652950C,T652950C,G1230778G,G1230778G,G1230778G,G1230778G,G1230778G,G1230778G
G447525C,G447525C,G447525C,G447525C,G447525C,G1955941C,G1955941C,G1955941C,C753174A,C753174A,C753174A,A1248382A,A1248382A,A1248382A,A1248382A,A1248382A,A1248382A
G456511A,G456511A,G456511A,G456511A,G456511A,G1980652T,G1980652T,G1980652T,T762434G,T762434G,T762434G,A1250340A,A1250340A,A1250340A,A1250340A,A1250340A,A1250340A
C469042T,C469042T,C469042T,C469042T,C469042T,C2072313A,C2072313A,C2072313A,C807405T,C807405T,C807405T,T1281771T,T1281771T,T1281771T,T1281771T,T1281771T,T1281771T
G492655A,G492655A,G492655A,G492655A,G492655A,A2172380C,A2172380C,A2172380C,T906742C,T906742C,T906742C,T1367484T,T1367484T,T1367484T,T1367484T,T1367484T,T1367484T
C495473T,C495473T,C495473T,C495473T,C495473T,A2185674G,A2185674G,A2185674G,C919551T,C919551T,C919551T,A1490905A,A1490905A,A1490905A,A1490905A,A1490905A,A1490905A
T555945C,T555945C,T555945C,T555945C,T555945C,T2294007C,T2294007C,T2294007C,C957306T,C957306T,C957306T,A1608276A,A1608276A,A1608276A,A1608276A,A1608276A,A1608276A
C564723T,C564723T,C564723T,C564723T,C564723T,C2337179T,C2337179T,C2337179T,G991939A,G991939A,G991939A,T1688300T,T1688300T,T1688300T,T1688300T,T1688300T,T1688300T
C580336A,C580336A,C580336A,C580336A,C580336A,G2399734A,G2399734A,G2399734A,G1002172A,G1002172A,G1002172A,G1839759G,G1839759G,G1839759G,G1839759G,G1839759G,G1839759G
G591965A,G591965A,G591965A,G591965A,G591965A,A2521428G,A2521428G,A2521428G,A1007198G,A1007198G,A1007198G,T1849609T,T1849609T,T1849609T,T1849609T,T1849609T,T1849609T
G595501A,G595501A,G595501A,G595501A,G595501A,T2543395C,T2543395C,T2543395C,C1008460T,C1008460T,C1008460T,C1859559C,C1859559C,C1859559C,C1859559C,C1859559C,C1859559C
G615938A,G615938A,G615938A,G615938A,G615938A,C2673818G,C2673818G,C2673818G,C1009500T,C1009500T,C1009500T,G1971725G,G1971725G,G1971725G,G1971725G,G1971725G,G1971725G
G621390A,G621390A,G621390A,G621390A,G621390A,T2711722G,T2711722G,T2711722G,C1012815G,C1012815G,C1012815G,T2158109T,T2158109T,T2158109T,T2158109T,T2158109T,T2158109T
C627350G,C627350G,C627350G,C627350G,C627350G,G2741209A,G2741209A,G2741209A,G1071349C,G1071349C,G1071349C,T2328543T,T2328543T,T2328543T,T2328543T,T2328543T,T2328543T
A646531T,A646531T,A646531T,A646531T,A646531T,G2833329A,G2833329A,G2833329A,T1144409G,T1144409G,T1144409G,G2388641G,G2388641G,G2388641G,G2388641G,G2388641G,G2388641G
C649345T,C649345T,C649345T,C649345T,C649345T,G2948230A,G2948230A,G2948230A,T1152805A,T1152805A,T1152805A,A2421816A,A2421816A,A2421816A,A2421816A,A2421816A,A2421816A
G655707A,G655707A,G655707A,G655707A,G655707A,C3010993T,C3010993T,C3010993T,A1152863G,A1152863G,A1152863G,T2425471T,T2425471T,T2425471T,T2425471T,T2425471T,T2425471T
C678440T,C678440T,C678440T,C678440T,C678440T,G3033189A,G3033189A,G3033189A,C1153388T,C1153388T,C1153388T,C2448458C,C2448458C,C2448458C,C2448458C,C2448458C,C2448458C
G685955A,G685955A,G685955A,G685955A,G685955A,G3304966A,G3304966A,G3304966A,C1177184A,C1177184A,C1177184A,T2723506T,T2723506T,T2723506T,T2723506T,T2723506T,T2723506T
G720863T,G720863T,G720863T,G720863T,G720863T,C3597249G,C3597249G,C3597249G,C1240744A,C1240744A,C1240744A,C2791098C,C2791098C,C2791098C,C2791098C,C2791098C,C2791098C
G722852A,G722852A,G722852A,G722852A,G722852A,T3674157A,T3674157A,T3674157A,A1247391C,A1247391C,A1247391C,C2807486C,C2807486C,C2807486C,C2807486C,C2807486C,C2807486C
C726498A,C726498A,C726498A,C726498A,C726498A,T3775409C,T3775409C,T3775409C,G1265828A,G1265828A,G1265828A,G2825466G,G2825466G,G2825466G,G2825466G,G2825466G,G2825466G
G730087A,G730087A,G730087A,G730087A,G730087A,A3775441C,A3775441C,A3775441C,T1308317C,T1308317C,T1308317C,A2886570A,A2886570A,A2886570A,A2886570A,A2886570A,A2886570A
C752046T,C752046T,C752046T,C752046T,C752046T,C3830349T,C3830349T,C3830349T,G1371470A,G1371470A,G1371470A,T2925962T,T2925962T,T2925962T,T2925962T,T2925962T,T2925962T
C797597T,C797597T,C797597T,C797597T,C797597T,C3979990G,C3979990G,C3979990G,A1377568G,A1377568G,A1377568G,C2988630C,C2988630C,C2988630C,C2988630C,C2988630C,C2988630C
C810287G,C810287G,C810287G,C810287G,C810287G,G3993058A,G3993058A,G3993058A,C1450316T,C1450316T,C1450316T,T2994187T,T2994187T,T2994187T,T2994187T,T2994187T,T2994187T
C811492G,C811492G,C811492G,C811492G,C811492G,C4041581T,C4041581T,C4041581T,G1478357T,G1478357T,G1478357T,C3003115C,C3003115C,C3003115C,C3003115C,C3003115C,C3003115C
