1,1.1,1.1.1,1.1.1.1,1.1.2,1.1.3,1.1.3.1,1.1.3.2,1.1.3.3,1.2.1,1.2.2,1.2.2.1,2,2.1,2.2,2.2.1,2.2.1.1,2.2.2,3,3.1.1,3.1.2,3.1.2.1,3.1.2.2,4.1,4.1.1,4.1.1.1,4.1.1.2,4.1.1.3,4.1.1.3.1,4.1.2,4.1.2.1,4.1.2.1.1,4.1.3,4.1.4,4.2,4.2.1,4.2.1.1,4.2.2,4.2.2.1,4.2.2.2,4.3,4.3.1,4.3.1.1,4.3.2,4.3.2.1,4.3.3,4.3.4,4.3.4.1,4.3.4.2,4.3.4.2.1,4.4,4.4.1,4.4.1.1,4.4.1.1.1,4.4.1.2,4.5,4.6,4.6.1,4.6.1.1,4.6.1.2,4.6.2,4.6.2.1,4.6.2.2,4.6.3,4.6.4,4.6.5,4.7,4.8,4.8.1,4.8.2,4.8.3,4.9.1,5,6,7,8,9,bov,cap,oryg
91.0,91.0,91.0,91.0,91.0,91.0,91.0,91.0,91.0,91.0,91.0,91.0,135.0,135.0,135.0,135.0,135.0,135.0,193.0,193.0,193.0,193.0,193.0,185.0,185.0,185.0,185.0,185.0,185.0,185.0,185.0,185.0,185.0,185.0,155.0,155.0,155.0,155.0,155.0,155.0,507.0,507.0,507.0,507.0,507.0,507.0,507.0,507.0,507.0,507.0,1941.0,1941.0,1941.0,1941.0,1941.0,799.0,71.0,71.0,71.0,71.0,71.0,71.0,71.0,71.0,71.0,71.0,595.0,2755.0,2755.0,2755.0,2755.0,41.0,19.0,291.0,39,21.0,213.0,97.0,47.0,23.0
221.0,221.0,221.0,221.0,221.0,221.0,221.0,221.0,221.0,221.0,221.0,221.0,137.0,137.0,137.0,137.0,137.0,137.0,245.0,245.0,245.0,245.0,245.0,819.0,819.0,819.0,819.0,819.0,819.0,819.0,819.0,819.0,819.0,819.0,337.0,337.0,337.0,337.0,337.0,337.0,1391.0,1391.0,1391.0,1391.0,1391.0,1391.0,1391.0,1391.0,1391.0,1391.0,2679.0,2679.0,2679.0,2679.0,2679.0,969.0,191.0,191.0,191.0,191.0,191.0,191.0,191.0,191.0,191.0,191.0,1831.0,2843.0,2843.0,2843.0,2843.0,77.0,43.0,305.0,53,51.0,321.0,117.0,99.0,75.0
223.0,223.0,223.0,223.0,223.0,223.0,223.0,223.0,223.0,223.0,223.0,223.0,285.0,285.0,285.0,285.0,285.0,285.0,415.0,415.0,415.0,415.0,415.0,1271.0,1271.0,1271.0,1271.0,1271.0,1271.0,1271.0,1271.0,1271.0,1271.0,1271.0,599.0,599.0,599.0,599.0,599.0,599.0,1805.0,1805.0,1805.0,1805.0,1805.0,1805.0,1805.0,1805.0,1805.0,1805.0,2789.0,2789.0,2789.0,2789.0,2789.0,2041.0,401.0,401.0,401.0,401.0,401.0,401.0,401.0,401.0,401.0,401.0,2031.0,3101.0,3101.0,3101.0,3101.0,299.0,105.0,429.0,57,55.0,463.0,563.0,129.0,81.0
253.0,253.0,253.0,253.0,253.0,253.0,253.0,253.0,253.0,253.0,253.0,253.0,809.0,809.0,809.0,809.0,809.0,809.0,495.0,495.0,495.0,495.0,495.0,1747.0,1747.0,1747.0,1747.0,1747.0,1747.0,1747.0,1747.0,1747.0,1747.0,1747.0,643.0,643.0,643.0,643.0,643.0,643.0,1981.0,1981.0,1981.0,1981.0,1981.0,1981.0,1981.0,1981.0,1981.0,1981.0,3099.0,3099.0,3099.0,3099.0,3099.0,3605.0,881.0,881.0,881.0,881.0,881.0,881.0,881.0,881.0,881.0,881.0,6071.0,5563.0,5563.0,5563.0,5563.0,745.0,113.0,433.0,61,95.0,477.0,677.0,139.0,119.0
385.0,385.0,385.0,385.0,385.0,385.0,385.0,385.0,385.0,385.0,385.0,385.0,975.0,975.0,975.0,975.0,975.0,975.0,539.0,539.0,539.0,539.0,539.0,1963.0,1963.0,1963.0,1963.0,1963.0,1963.0,1963.0,1963.0,1963.0,1963.0,1963.0,895.0,895.0,895.0,895.0,895.0,895.0,2025.0,2025.0,2025.0,2025.0,2025.0,2025.0,2025.0,2025.0,2025.0,2025.0,3349.0,3349.0,3349.0,3349.0,3349.0,3935.0,917.0,917.0,917.0,917.0,917.0,917.0,917.0,917.0,917.0,917.0,8053.0,7051.0,7051.0,7051.0,7051.0,791.0,143.0,449.0,65,109.0,525.0,767.0,161.0,149.0
439.0,439.0,439.0,439.0,439.0,439.0,439.0,439.0,439.0,439.0,439.0,439.0,1251.0,1251.0,1251.0,1251.0,1251.0,1251.0,543.0,543.0,543.0,543.0,543.0,2337.0,2337.0,2337.0,2337.0,2337.0,2337.0,2337.0,2337.0,2337.0,2337.0,2337.0,981.0,981.0,981.0,981.0,981.0,981.0,2873.0,2873.0,2873.0,2873.0,2873.0,2873.0,2873.0,2873.0,2873.0,2873.0,4315.0,4315.0,4315.0,4315.0,4315.0,4117.0,6051.0,6051.0,6051.0,6051.0,6051.0,6051.0,6051.0,6051.0,6051.0,6051.0,8167.0,9541.0,9541.0,9541.0,9541.0,1041.0,179.0,453.0,85,111.0,537.0,769.0,187.0,157.0
467.0,467.0,467.0,467.0,467.0,467.0,467.0,467.0,467.0,467.0,467.0,467.0,1305.0,1305.0,1305.0,1305.0,1305.0,1305.0,757.0,757.0,757.0,757.0,757.0,2345.0,2345.0,2345.0,2345.0,2345.0,2345.0,2345.0,2345.0,2345.0,2345.0,2345.0,1125.0,1125.0,1125.0,1125.0,1125.0,1125.0,3059.0,3059.0,3059.0,3059.0,3059.0,3059.0,3059.0,3059.0,3059.0,3059.0,4549.0,4549.0,4549.0,4549.0,4549.0,4147.0,7585.0,7585.0,7585.0,7585.0,7585.0,7585.0,7585.0,7585.0,7585.0,7585.0,10169.0,9949.0,9949.0,9949.0,9949.0,1315.0,183.0,509.0,103,133.0,649.0,847.0,225.0,159.0
505.0,505.0,505.0,505.0,505.0,505.0,505.0,505.0,505.0,505.0,505.0,505.0,1597.0,1597.0,1597.0,1597.0,1597.0,1597.0,781.0,781.0,781.0,781.0,781.0,2415.0,2415.0,2415.0,2415.0,2415.0,2415.0,2415.0,2415.0,2415.0,2415.0,2415.0,1163.0,1163.0,1163.0,1163.0,1163.0,1163.0,3653.0,3653.0,3653.0,3653.0,3653.0,3653.0,3653.0,3653.0,3653.0,3653.0,5539.0,5539.0,5539.0,5539.0,5539.0,4623.0,7957.0,7957.0,7957.0,7957.0,7957.0,7957.0,7957.0,7957.0,7957.0,7957.0,10551.0,10375.0,10375.0,10375.0,10375.0,1445.0,215.0,581.0,125,147.0,681.0,1015.0,313.0,169.0
533.0,533.0,533.0,533.0,533.0,533.0,533.0,533.0,533.0,533.0,533.0,533.0,1601.0,1601.0,1601.0,1601.0,1601.0,1601.0,851.0,851.0,851.0,851.0,851.0,3295.0,3295.0,3295.0,3295.0,3295.0,3295.0,3295.0,3295.0,3295.0,3295.0,3295.0,1433.0,1433.0,1433.0,1433.0,1433.0,1433.0,5145.0,5145.0,5145.0,5145.0,5145.0,5145.0,5145.0,5145.0,5145.0,5145.0,5585.0,5585.0,5585.0,5585.0,5585.0,4759.0,,29.0,29.0,29.0,175.0,175.0,175.0,33.0,425.0,69.0,,,267.0,919.0,635.0,2195.0,219.0,751.0,173,165.0,779.0,1035.0,371.0,171.0
577.0,577.0,577.0,577.0,577.0,577.0,577.0,577.0,577.0,577.0,577.0,577.0,1673.0,1673.0,1673.0,1673.0,1673.0,1673.0,915.0,915.0,915.0,915.0,915.0,3637.0,3637.0,3637.0,3637.0,3637.0,3637.0,3637.0,3637.0,3637.0,3637.0,3637.0,1501.0,1501.0,1501.0,1501.0,1501.0,1501.0,6365.0,6365.0,6365.0,6365.0,6365.0,6365.0,6365.0,6365.0,6365.0,6365.0,6003.0,6003.0,6003.0,6003.0,6003.0,4967.0,,87.0,87.0,87.0,1455.0,1455.0,1455.0,73.0,815.0,2893.0,,,727.0,1311.0,755.0,2351.0,249.0,999.0,177,181.0,787.0,1851.0,399.0,189.0
