1,1.1,1.1.1,1.1.1.1,1.1.2,1.1.3,1.1.3.1,1.1.3.2,1.1.3.3,1.2.1,1.2.2,1.2.2.1,2,2.1,2.2,2.2.1,2.2.1.1,2.2.2,3,3.1.1,3.1.2,3.1.2.1,3.1.2.2,4.1,4.1.1,4.1.1.1,4.1.1.2,4.1.1.3,4.1.1.3.1,4.1.2,4.1.2.1,4.1.2.1.1,4.1.3,4.1.4,4.2,4.2.1,4.2.1.1,4.2.2,4.2.2.1,4.2.2.2,4.3,4.3.1,4.3.1.1,4.3.2,4.3.2.1,4.3.3,4.3.4,4.3.4.1,4.3.4.2,4.3.4.2.1,4.4,4.4.1,4.4.1.1,4.4.1.1.1,4.4.1.2,4.5,4.6,4.6.1,4.6.1.1,4.6.1.2,4.6.2,4.6.2.1,4.6.2.2,4.6.3,4.6.4,4.6.5,4.7,4.8,4.8.1,4.8.2,4.8.3,4.9.1,5,6,7,8,9,bov,cap,oryg
99.0,393.0,203.0,1221.0,35.0,71.0,123.0,43.0,241.0,153.0,91.0,57.0,143.0,135.0,75.0,437.0,1703.0,491.0,201.0,289.0,139.0,2007.0,239.0,193.0,323.0,161.0,115.0,327.0,215.0,285.0,1183.0,237.0,25.0,217.0,163.0,887.0,129.0,53.0,23.0,45.0,513.0,2971.0,667.0,175.0,33.0,39.0,1467.0,585.0,149.0,671.0,1937.0,813.0,669.0,207.0,101.0,801.0,79.0,37.0,291.0,395.0,183.0,67.0,235.0,41.0,431.0,77.0,601.0,2747.0,275.0,921.0,641.0,49.0,27.0,299.0,47,29.0,221.0,105.0,55.0,31.0
229.0,799.0,575.0,1269.0,205.0,637.0,301.0,109.0,389.0,859.0,271.0,225.0,145.0,211.0,411.0,521.0,1877.0,525.0,253.0,3849.0,2517.0,3127.0,573.0,821.0,767.0,251.0,159.0,471.0,337.0,1117.0,1473.0,739.0,97.0,295.0,345.0,1113.0,1231.0,265.0,403.0,1559.0,1377.0,2999.0,915.0,713.0,247.0,1075.0,2635.0,1039.0,809.0,1407.0,2671.0,1657.0,981.0,245.0,209.0,971.0,199.0,95.0,619.0,427.0,1441.0,965.0,249.0,81.0,817.0,2883.0,1827.0,2833.0,731.0,1299.0,759.0,85.0,51.0,313.0,61,59.0,329.0,125.0,107.0,83.0
231.0,1081.0,791.0,1615.0,547.0,795.0,861.0,171.0,633.0,1145.0,485.0,263.0,293.0,397.0,453.0,645.0,4751.0,707.0,421.0,3961.0,4819.0,5611.0,617.0,1259.0,1327.0,519.0,335.0,479.0,825.0,1141.0,1625.0,1591.0,131.0,309.0,605.0,1553.0,1627.0,577.0,481.0,1671.0,1801.0,3337.0,1805.0,717.0,477.0,1379.0,3311.0,2097.0,1607.0,3129.0,2779.0,2081.0,1019.0,343.0,695.0,2037.0,407.0,653.0,643.0,449.0,1989.0,1265.0,315.0,87.0,1515.0,3377.0,2027.0,3097.0,867.0,1331.0,843.0,307.0,113.0,435.0,65,63.0,469.0,569.0,137.0,89.0
261.0,1781.0,837.0,1839.0,597.0,829.0,863.0,341.0,831.0,1281.0,673.0,413.0,811.0,561.0,639.0,1373.0,4889.0,963.0,501.0,4047.0,6809.0,5725.0,833.0,1743.0,1519.0,599.0,489.0,493.0,985.0,1149.0,2341.0,1901.0,317.0,423.0,649.0,1993.0,1683.0,979.0,1051.0,1935.0,1977.0,3587.0,2493.0,925.0,715.0,2065.0,4653.0,2791.0,1995.0,4413.0,3095.0,2669.0,1779.0,441.0,699.0,3621.0,883.0,743.0,2145.0,689.0,2155.0,1361.0,333.0,381.0,3643.0,3451.0,6049.0,5563.0,1161.0,1689.0,1573.0,749.0,121.0,439.0,69,103.0,483.0,681.0,147.0,127.0
391.0,1915.0,885.0,1873.0,991.0,895.0,1073.0,529.0,1409.0,1629.0,1415.0,611.0,977.0,625.0,665.0,4797.0,10087.0,1159.0,545.0,4145.0,9313.0,6047.0,943.0,1959.0,2173.0,1105.0,769.0,901.0,1311.0,2105.0,2589.0,1919.0,563.0,865.0,897.0,2581.0,2179.0,1329.0,3677.0,2055.0,2021.0,3695.0,2745.0,1203.0,763.0,2399.0,6385.0,3171.0,2509.0,6807.0,3355.0,2831.0,2469.0,523.0,959.0,3955.0,919.0,747.0,2199.0,1347.0,2169.0,2113.0,399.0,419.0,4201.0,3783.0,8025.0,7017.0,1393.0,1707.0,1841.0,793.0,151.0,455.0,73,117.0,531.0,771.0,169.0,157.0
445.0,3917.0,1245.0,2127.0,1201.0,1289.0,1133.0,571.0,1429.0,1631.0,2167.0,1359.0,1239.0,647.0,993.0,5221.0,,1823.0,549.0,4879.0,10217.0,8907.0,1171.0,2329.0,2203.0,1397.0,787.0,927.0,1675.0,2299.0,2737.0,1987.0,595.0,1243.0,983.0,4163.0,2307.0,3757.0,4991.0,2417.0,2863.0,3879.0,2751.0,1333.0,1035.0,2873.0,6549.0,3219.0,2677.0,7187.0,4333.0,4509.0,3359.0,623.0,1029.0,4137.0,6029.0,765.0,2529.0,1477.0,2561.0,2319.0,465.0,613.0,4221.0,,8139.0,9503.0,1651.0,1721.0,1925.0,1043.0,187.0,459.0,93,119.0,543.0,773.0,195.0,165.0
473.0,4561.0,1365.0,2515.0,1297.0,1475.0,1235.0,725.0,2327.0,1661.0,2215.0,1463.0,1293.0,877.0,1005.0,7067.0,,2391.0,761.0,5119.0,,10029.0,1637.0,2337.0,3189.0,1483.0,939.0,2125.0,1773.0,2801.0,3391.0,2205.0,697.0,1413.0,1115.0,4357.0,2335.0,4071.0,5581.0,2637.0,3055.0,4151.0,3017.0,1641.0,1189.0,3525.0,9027.0,3465.0,2839.0,10625.0,4569.0,5145.0,5139.0,1307.0,1195.0,4167.0,7567.0,1089.0,3633.0,2075.0,3297.0,2435.0,729.0,629.0,4227.0,,10167.0,9929.0,2101.0,1965.0,1951.0,1303.0,191.0,515.0,111,141.0,655.0,849.0,233.0,167.0
511.0,4631.0,2177.0,3021.0,1433.0,1961.0,1241.0,823.0,2697.0,2111.0,2451.0,1711.0,1593.0,907.0,1199.0,8457.0,,2523.0,785.0,6263.0,,,1751.0,2407.0,4761.0,1489.0,1015.0,2321.0,2069.0,2903.0,3729.0,2333.0,935.0,1567.0,1153.0,5557.0,2583.0,5603.0,6737.0,3111.0,3669.0,4345.0,3109.0,1783.0,1815.0,4429.0,,4907.0,3485.0,10929.0,5539.0,5227.0,6897.0,2617.0,1285.0,4643.0,7929.0,1119.0,4065.0,2767.0,3865.0,2615.0,893.0,745.0,4675.0,,10551.0,10375.0,2325.0,1985.0,2467.0,1431.0,223.0,587.0,133,155.0,685.0,1017.0,321.0,177.0
539.0,9923.0,2577.0,3853.0,1453.0,2103.0,1305.0,911.0,2879.0,2159.0,2585.0,1831.0,1597.0,953.0,1849.0,9061.0,,2673.0,853.0,6849.0,,,2095.0,3303.0,4901.0,2309.0,1279.0,2487.0,2405.0,5195.0,4287.0,2415.0,1033.0,1681.0,1419.0,5561.0,2805.0,6131.0,6775.0,3427.0,5161.0,4381.0,3143.0,2067.0,1997.0,4527.0,,5349.0,4371.0,,5585.0,5289.0,7737.0,2641.0,1399.0,4779.0,,1257.0,4827.0,3533.0,7051.0,2811.0,1009.0,805.0,5421.0,,,,2765.0,2453.0,2907.0,2191.0,227.0,755.0,181,173.0,783.0,1037.0,377.0,179.0
583.0,10031.0,2645.0,4143.0,1455.0,2133.0,1369.0,973.0,3767.0,2507.0,2627.0,1855.0,1669.0,1097.0,1891.0,10735.0,,2695.0,917.0,7583.0,,,2193.0,3653.0,5347.0,2733.0,1505.0,2609.0,3067.0,7039.0,4859.0,2603.0,1107.0,2017.0,1487.0,6601.0,2915.0,6297.0,7549.0,4713.0,6341.0,5087.0,3431.0,2135.0,2813.0,4565.0,,7799.0,4457.0,,5985.0,5443.0,7913.0,2827.0,1727.0,4987.0,,1493.0,5935.0,3573.0,7517.0,2997.0,1255.0,835.0,5453.0,,,,2841.0,2519.0,3215.0,2343.0,257.0,1001.0,185,189.0,789.0,1847.0,405.0,197.0
