avg,long_bar,mean
0.24,669,0.22101449275362317
0.24,760,0.25
0.26,685,0.2256756756756757
0.26,841,0.22777777777777777
0.22,559,0.22101449275362317
0.49,543,0.43938356164383563
0.25,797,0.24883720930232556
0.24,403,0.23
0.24,732,0.21805555555555556
0.22,417,0.22466666666666668
0.24,893,0.22424242424242424
0.24,460,0.21774193548387097
0.22,564,0.21176470588235294
0.49,598,0.4405844155844156
0.26,348,0.2403225806451613
0.24,874,0.2126865671641791
0.23,551,0.22
0.24,425,0.2190140845070422
0.25,803,0.22411764705882353
0.24,783,0.22088607594936707
0.23,498,0.20526315789473684
0.49,347,0.44333333333333336
0.25,684,0.22325581395348837
0.49,473,0.2267123287671233
0.24,716,0.21363636363636362
0.24,734,0.20675675675675675
0.26,656,0.25249999999999995
0.26,864,0.22272727272727275
0.24,325,0.22205882352941178
0.24,802,0.21
0.49,390,0.4397887323943662
0.49,397,0.43699999999999994
0.24,580,0.21805555555555556
0.24,559,0.2236842105263158
0.24,782,0.22
0.24,880,0.21666666666666665
0.24,530,0.2174698795180723
0.26,566,0.22857142857142856
0.25,528,0.23235294117647057
0.22,717,0.20835164835164835
0.24,527,0.22272727272727275
0.24,469,0.206
0.24,440,0.22313432835820898
0.25,770,0.22272727272727275
0.24,412,0.22466666666666668
0.24,681,0.20915492957746476
0.23,652,0.21202531645569622
0.26,1059,0.22
0.24,336,0.22
0.25,587,0.21202531645569622
0.49,329,0.4404411764705883
0.24,521,0.245
0.27,847,0.21202531645569622
0.25,347,0.2108695652173913
0.24,625,0.24418686336494555
0.49,274,0.22466666666666668
0.24,502,0.25
0.24,909,0.21363636363636362
0.49,318,0.2333333333333333
0.25,677,0.22088607594936707
0.24,734,0.2190140845070422
0.28,322,0.2318181818181818
0.24,658,0.2162162162162162
0.24,848,0.24285714285714285
0.26,499,0.22101449275362317
0.23,275,0.2333333333333333
0.26,732,0.22088607594936707
0.22,343,0.21973684210526315
0.24,629,0.21597722960151802
0.22,358,0.2174698795180723
0.27,423,0.2591549295774648
0.49,340,0.4376760563380282
0.26,533,0.2265625
0.23,433,0.22325581395348837
0.25,380,0.21363636363636362
0.24,393,0.2108695652173913
0.26,581,0.25274725274725274
0.26,534,0.21176470588235294
0.23,650,0.22
0.24,603,0.20444444444444443
0.49,278,0.44
0.26,554,0.22101449275362317
0.25,459,0.22466666666666668
0.24,465,0.2215909090909091
0.24,691,0.20526315789473684
0.24,517,0.2108695652173913
0.22,354,0.22538461538461538
0.24,598,0.22325581395348837
0.22,443,0.2236842105263158
0.24,714,0.21885245901639347
0.49,477,0.437962962962963
0.24,459,0.21
0.24,609,0.21363636363636362
0.26,544,0.22
0.24,355,0.22809848379468634
0.24,593,0.21666666666666665
0.23,349,0.22538461538461538
0.24,670,0.21533333333333335
0.27,468,0.25217391304347825
0.25,421,0.23235294117647057
0.49,347,0.441
0.24,600,0.2144736842105263
0.24,797,0.22424242424242424
0.25,911,0.21436781609195407
0.24,486,0.21436781609195407
0.24,548,0.20249999999999999
0.23,475,0.22078651685393255
0.25,542,0.2217948717948718
0.24,862,0.21712328767123287
0.24,775,0.2236842105263158
0.26,469,0.20249999999999999
0.27,571,0.2318181818181818
0.26,771,0.22692307692307692
0.24,622,0.2267123287671233
0.49,274,0.22777777777777777
0.24,622,0.22
0.25,647,0.21363636363636362
0.24,518,0.2488043791414578
0.26,275,0.4395833333333333
0.26,342,0.2333333333333333
0.22,537,0.22101449275362317
0.24,675,0.2162162162162162
0.26,561,0.21363636363636362
0.24,471,0.23115942028985506
0.25,333,0.22777777777777777
0.26,442,0.23513513513513515
0.24,744,0.22272727272727275
0.24,363,0.22954545454545458
0.26,585,0.2190140845070422
0.26,502,0.21004056795131845
0.25,924,0.2162162162162162
0.23,732,0.22
0.24,461,0.21562499999999998
0.25,1031,0.22101449275362317
0.23,716,0.2174698795180723
0.26,724,0.21363636363636362
0.24,776,0.22205882352941178
0.24,804,0.21
0.24,671,0.2236842105263158
0.25,422,0.21176470588235294
0.49,610,0.4375
0.49,281,0.22608695652173916
0.25,686,0.22205882352941178
0.27,322,0.22
0.24,427,0.22205882352941178
0.24,537,0.2190140845070422
0.24,655,0.22313432835820898
0.24,866,0.21805555555555556
0.25,771,0.21829268292682927
0.26,354,0.22777777777777777
0.23,381,0.2256756756756757
0.27,610,0.25207631874298536
0.24,967,0.2236842105263158
0.24,512,0.22777777777777777
0.27,340,0.22325581395348837
0.25,570,0.21562499999999998
0.24,330,0.22272727272727275
0.26,607,0.248
0.26,422,0.2268292682926829
0.24,750,0.2162162162162162
0.24,675,0.22
0.24,756,0.21436781609195407
0.25,824,0.2224137931034483
0.24,435,0.2108695652173913
0.26,444,0.2236842105263158
0.24,789,0.20157894736842108
0.24,795,0.2108695652173913
0.24,612,0.22272727272727275
0.24,695,0.20675675675675675
0.26,876,0.21363636363636362
0.26,744,0.22974683544303798
0.25,466,0.2144736842105263
0.24,634,0.20526315789473684
0.26,589,0.20903614457831324
0.26,594,0.2267123287671233
0.24,457,0.21132975551580202
0.25,446,0.2126865671641791
0.24,639,0.22272727272727275
0.24,780,0.20675675675675675
0.26,597,0.21666666666666665
0.25,399,0.24876190476190477
0.24,848,0.2190140845070422
0.25,491,0.21363636363636362
0.22,671,0.23045977011494254
0.24,678,0.21885245901639347
0.25,424,0.24675324675324675
0.25,915,0.21363636363636362
0.25,763,0.21461538461538457
0.26,339,0.21712328767123287
0.24,364,0.20675675675675675
0.24,818,0.21461538461538457
0.24,403,0.22101449275362317
0.24,332,0.2318181818181818
0.49,312,0.43829113924050633
0.22,1101,0.21562499999999998
0.22,621,0.2217948717948718
0.24,342,0.22
0.49,388,0.4396341463414634
0.24,590,0.2144736842105263
0.24,748,0.22101449275362317
