1,1.1,1.1.1,1.1.1.1,1.1.2,1.1.3,1.1.3.1,1.1.3.2,1.1.3.3,1.2.1,1.2.2,1.2.2.1,2,2.1,2.2,2.2.1,2.2.1.1,2.2.2,3,3.1.1,3.1.2,3.1.2.1,3.1.2.2,4,4.1,4.1.1,4.1.1.1,4.1.1.2,4.1.1.3,4.1.1.3.1,4.1.2,4.1.2.1,4.1.2.1.1,4.1.3,4.1.4,4.2,4.2.1,4.2.1.1,4.2.2,4.2.2.1,4.2.2.2,4.3,4.3.1,4.3.1.1,4.3.2,4.3.2.1,4.3.3,4.3.4,4.3.4.1,4.3.4.2,4.3.4.2.1,4.4,4.4.1,4.4.1.1,4.4.1.1.1,4.4.1.2,4.5,4.6,4.6.1,4.6.1.1,4.6.1.2,4.6.2,4.6.2.1,4.6.2.2,4.6.3,4.6.4,4.6.5,4.7,4.8,4.8.1,4.8.2,4.8.3,4.9.1,5,6,7,8,9,bov,cap,oryg
T22961G,G117295A,G55069C,G477214T,C6124T,C15177G,G28616C,T8188C,C67969T,C41151A,G20407A,T10360C,G36008C,G32804A,C16119A,C135329T,C671385G,G154990T,G54842T,T85985C,C34605A,T791671C,G67634T,A1490905A,T51954A,G95591T,C43191A,T26300C,G97388T,C58479A,G83842A,C70924T,C67406G,A3186G,G58786C,C43722T,A314338G,G31258T,A9944C,C1131A,G8688T,G162581A,G1169028A,C223627A,G47699A,C5520T,G8040A,G571943A,A197047G,C40162T,T225495C,C753088T,G283313A,C224901G,G55813A,G23051A,C281316T,G18091A,A7539G,C87257A,C117403T,C49079G,C14192T,G67385A,T8049G,A133279G,G17665A,A201896G,T1082445A,A77938G,A325615C,C214036T,C8978T,A3192G,T89113G,C8876T,G4661A,G59257A,C24294T,C10223G,A5516G
G65159A,C281208T,C192924A,C490972A,A55418G,T212674G,T89179C,A25139G,C113641T,C303414T,C77469T,T60297C,C39158G,C56738T,C123454T,C163705T,A731015G,A163940G,C69984A,A1523575G,G993016A,C1237818G,G187342C,T2158109T,G284623A,C265968G,C69873A,G43041A,G144390A,C101691A,C435190T,C456281T,G255225A,G22568A,C87847G,A103181G,G422879A,G481569A,T74956C,C121463T,G611463A,C534691T,A1172079G,C324662T,G243118A,G69025C,C403920T,T1037355C,T393780G,G282188A,A550573C,C1052899T,C651772A,G355181A,C68688T,C56604A,G349200A,C54304T,C22334T,G207160A,C130449A,G561021A,C347274T,G69342A,T19154C,T283694G,G1147708A,G716918A,G1130526A,C253457T,T499535C,A262868G,C19436A,C9566T,T92016G,G11924A,G10596A,C97898T,A29999C,G24421A,G6109A
C65663G,G406389A,T278189C,C634586T,G170755T,C280294T,T304050C,G44996A,C212040T,C445400T,A154051G,G74805C,C87468T,G117726A,G139297T,C215977T,C1891388G,G239733T,A129576C,T1556430G,C1914217A,C2245499T,A205928C,T2328543T,C489073G,C514245T,A163670G,G78871T,C147985T,C286300A,A443277C,A575679G,G627396C,C32581T,C90370T,T202675C,C609254T,G638212T,C193735G,C152092T,C657425T,G709226A,A1311086G,C709525G,G244911C,G147655C,G479632T,G1297327A,C831206T,G632330T,C1239078A,G1103786T,C821102T,A383081G,T102348C,A233751G,G801697A,T122794G,C218204T,G215613A,C138788T,C778298T,C489928T,G93044A,C19628T,G598910T,G1331187C,A796876G,C1227217T,C306113T,A515123C,A292634G,C90229T,C25386T,C134014T,C13445T,C11979A,C143535T,A184727G,C34514T,C19376T
T74737G,G423334A,C289300T,A719545G,G199857A,A286580T,G304635T,G101819A,A287510C,A495198G,G227386T,C123511T,C282892T,G175994A,C213281T,C533547G,A1947282G,G346693T,C157129T,G1591545T,C2729454T,C2282190T,T288173C,C3003115C,C686655T,A599165C,A201123C,G101351A,G155293A,G356009A,G446165C,C637730T,G740855C,A93947C,C129852T,C217306G,A783601C,C664791T,C353767T,A397680C,A752141G,G773809A,A1421109G,C981671T,C326039T,G244719A,C535695T,A1847811C,T1106649C,G784440T,G1740535A,C1226129T,G1051949A,G705062C,C135695A,A234966G,C1435763T,C312944T,T256640G,C859649T,C232110T,T863340C,C528669G,G100895T,G111851A,C1442109T,C1358197T,A2378813G,C2212762T,C449704T,G666745A,C616408G,T258121C,C27947T,G135398A,T14806C,G23098A,A153263G,C228731T,G39688T,A19964C
T115499G,C705570T,G313425T,C728897T,A358926C,G317045A,C403481T,C164682T,T550693C,A638558C,G552361A,G204724A,G353365A,A208782C,G222925A,A1906078G,C4080525T,G449194A,G170671A,C1639226T,G3722702C,G2378572A,C343092T,A3420825A,G765150A,C869440T,G418998A,G154671A,G320038A,C505681T,A832708C,C903633T,A746790G,G184254C,C305346T,G317540C,A1017836C,C870187T,T515110G,T1455780C,C811637A,G796509T,A1465535G,C1082167T,C466096T,G265154C,G812808A,G2527676A,C1251955T,T990533C,C2729453A,G1320675A,G1130261A,T964099C,T163814C,C345697T,C1555801T,G325038A,T257982G,T876378C,A524095G,C868006T,G835647A,G118469A,C129566T,G1659666A,A1498304C,G3220222A,C2809250T,C545117A,C677213T,A720750C,C279987T,C40177T,C140644T,C15735T,G26503A,G164846A,G267329A,A44823C,G30579A
C137233T,C745876G,C485631T,C851797A,G465697C,G496840A,G442283A,G187285C,C556222T,C639835T,T866827C,G527270T,C484596T,C216469T,G363464A,C2078246G,,C716025T,C172492G,G1941617C,C4132949T,C3557911T,C452961T,,G897209C,C877224A,A545911G,C266115T,G328641T,G659098A,A891756G,A1019632G,C777793T,G199726A,G485434A,G355803T,C1645173A,C893653A,C1487796A,C1889908T,G936189A,A1142266C,T1541214C,G1083082T,T515125G,C392914T,G919393C,C2599821A,G1274335A,C1055049T,G2873374A,A1711676C,C1789785G,C1321210T,C208710A,G389774A,C1626656T,A2369971G,C265244T,G996871A,C578032T,G1010532A,C896119T,C135569G,T205243G,G1669556T,,C3270289A,G3836739A,G649515T,C681313T,C748923T,G394922T,T50059A,C141261T,C22303G,G27921A,A170022C,G268277C,C53688T,C42756T
C144564T,C1545119T,C529363T,C992206T,C499196T,C577289T,A482570C,G251224A,C897197G,C654996T,A886348G,G570311C,G497491A,A309847G,G379528T,T2825581G,,C917596A,T264992C,G2017026A,,C4053713G,A581170C,,C902413T,C1256806T,G583979T,G274930A,T851133G,C703722G,A1111925G,G1080528A,G877363C,G234695T,C551419G,C423722T,A1721372C,C899319G,C1600586T,C1985573A,C1038677T,G1199547A,G1640446C,G1180200T,T646243C,T457032C,G1144664A,C3612009T,C1364434T,C1132368T,A4273842C,G1819488A,G2033890T,G2022126C,G502347C,A458948T,C1645599T,G3015966A,C412017G,C1439332T,G818798T,C1289555G,C944626T,C142317T,G209484C,C1672681T,,G4112595A,C4028292T,T831594A,G769320A,C759956A,G500807A,T51892C,G162948A,C25223G,C35212A,G219755T,T294453C,T65778G,A44625T
G162226A,A1814135G,C870112T,G1182192A,G559350A,G765230A,C485424A,G285096T,G1066025A,G835526A,G952984A,C678673T,G627485A,C321558T,C465300T,T3412611C,,C994382T,C274463A,A2467098C,,,A643904G,,T923065A,T1896387C,C586644T,G341082A,C896356T,T815409G,C1153676G,G1338172C,G899175A,C332006T,A613149C,G447411T,C2209807T,A1017867G,G2244768A,G2234084A,G1233285A,C1452071A,G1715828C,G1232540T,C705595T,T712773C,G1390528T,,T1953648C,G1373170C,T4380236G,G2202582T,T2080611C,C2767631T,G1031285A,G495423A,G1843658A,C3170460T,G435708A,G1597696A,C1098698G,C1534538T,C1030368G,G252105A,G256862A,C1857687A,,C4249732G,A4188020G,A896933G,C776891A,A962872G,G556961T,C60059T,C198313A,T32767C,G42246T,C230258T,A382991G,G94718A,G44812T
C167986T,A1839306G,C1016131A,A1526100G,C565415T,G832072C,C501694T,A323526G,C1146224T,C864166T,G1018811A,G717879A,T628864C,A344952G,T721373G,G3626562A,,T1053912C,C301341A,G2744388A,,,C689180T,,C1292464T,C1952601T,C894079T,A382356G,T979859C,G922256A,C2066633G,G1477588C,C935201T,A392282G,C664347T,G553613T,C2211600G,C1115796A,A2420503G,T2690427A,C1344964T,G1947903T,C1728154G,C1242267T,T814641C,G784581C,G1755519T,,C2133668A,G1724120A,,C2234475T,A2102990G,A3088614G,C1039467T,C546019T,T1901924C,,G488796A,C1917289T,G1391868A,C2821089A,G1117848T,C316886T,A281664G,A2160773G,,,,C1094812G,C953397T,A1154368C,G874957T,G60300A,C260610T,G48410A,C46892T,C273581T,G393748A,T108257G,A47881T
C196874T,C4024967G,T1039981C,G1635527A,G567446A,C852641T,C532420G,G352804C,A1495150G,G990383A,A1033573G,C722838T,C657142T,A415129G,T738522G,C4311664T,,T1065793G,C324812T,G3023684A,,,A831009C,,C1444202G,T2132152C,C1078777A,C495104T,C1028944T,C1202752T,G2819009A,C1695364G,G1025614T,C419526A,C795563T,C585891G,G2625052A,C1156962T,G2482888A,C2712128T,G1880850A,C2053682T,C2005558T,C1346422T,C853469A,T1118026C,C1797027T,,C3118976G,C1769099A,,C2358916T,C2176813T,G3159936A,G1126895A,G682800T,G1980871C,,G587974A,G2331061T,A1416410C,C2996208A,C1171856T,C379724T,C288231G,G2179739A,,,,C1132437T,G993253T,A1272947C,G904085A,G73148A,G378404A,G49405T,T51247C,A277022G,T633729C,G121831A,C47950T
